schoolid,schoolname,CalendarYear,Firsttimebaryear,GradTotal,GradDidNotTake,GradTakers,graddidnottakepct,GradNoInfo,gradnoinfopct,graddidnottakenoinfopct,PriorYrFirstTimeTaker,EarlyFirstTimeTakers,TotalFirstTimeTakers,totalfirsttimepassers,reportpct,avgschoolpasspct,avgstatepasspct,avgpasspctdiff,GradAltPath,AvgPassPctAltPath,UltimateBarYear,UltimateCohortTotal,UltimateDidNotTake,UltimateNoInfo,UltimateTakers,UltimatePassers,UltimateSchoolPassPct,UltimateAltPath,UltimatePassPctAltPath
00322700,Willamette University,2024,2023,96,11,85,0.1146,0,0,0.1146,8,3,93,50,,0.5376,0.7422,-0.2046,0,0.5376,2021,101,5,0,96,80,0.8333,0,0.8333
00325600,Drexel University,2024,2023,152,15,137,0.0987,0,0,0.0987,5,1,142,109,,0.7676,0.7364,0.0312,0,0.7676,2021,163,4,2,157,140,0.8917,0,0.8917
00325800,Duquesne University,2024,2023,137,5,132,0.0365,0,0,0.0365,0,0,132,110,,0.8333,0.7512,0.0821,0,0.8333,2021,157,4,2,151,138,0.9139,0,0.9139
00331301,Widener University-Delaware,2024,2023,181,20,160,0.1105,1,0.0055,0.116,25,1,185,118,,0.6378,0.7163,-0.0785,0,0.6378,2021,186,4,1,181,148,0.8177,0,0.8177
00331302,Widener Commonwealth,2024,2023,82,14,67,0.1707,1,0.0122,0.1829,13,1,80,43,,0.5375,0.7426,-0.2051,0,0.5375,2021,84,3,0,81,65,0.8025,0,0.8025
00332900,Pennsylvania State University-Penn State Law,2024,2023,113,7,102,0.0619,4,0.0354,0.0973,4,0,106,92,,0.8679,0.756,0.1119,0,0.8679,2021,118,2,4,112,108,0.9643,0,0.9643
00332922,Pennsylvania State University,2024,2023,,,,,,,,,,,,,,,,,,2021,,,,,,,,
00332923,Pennsylvania State University-Dickinson School of Law,2024,2023,75,4,71,0.0533,0,0,0.0533,0,2,71,55,,0.7746,0.7535,0.0211,0,0.7746,2021,72,1,0,71,69,0.9718,0,0.9718
00337101,Temple University,2024,2023,210,12,194,0.0571,4,0.019,0.0762,8,0,202,172,,0.8515,0.7482,0.1033,0,0.8515,2021,239,4,3,232,214,0.9224,0,0.9224
00337800,University of Pennsylvania,2024,2023,251,16,234,0.0637,1,0.004,0.0677,6,0,240,231,,0.9625,0.7972,0.1653,0,0.9625,2021,258,10,0,248,246,0.9919,0,0.9919
00337900,University of Pittsburgh,2024,2023,112,8,104,0.0714,0,0,0.0714,6,0,110,93,,0.8455,0.7479,0.0976,0,0.8455,2021,129,7,0,122,115,0.9426,0,0.9426
00338801,Villanova University,2024,2023,175,9,163,0.0514,3,0.0171,0.0686,8,0,171,157,,0.9181,0.7581,0.16,0,0.9181,2021,172,5,0,167,161,0.9641,0,0.9641
00341001,Roger Williams University,2024,2023,163,17,146,0.1043,0,0,0.1043,25,4,171,99,,0.5789,0.771,-0.1921,0,0.5789,2021,148,6,0,142,113,0.7958,0,0.7958
00344800,University of South Carolina,2024,2023,209,16,193,0.0766,0,0,0.0766,19,1,212,173,,0.816,0.7703,0.0457,0,0.816,2021,207,1,3,203,179,0.8818,0,0.8818
00347400,University of South Dakota,2024,2023,57,6,51,0.1053,0,0,0.1053,4,0,55,37,,0.6727,0.785,-0.1123,,0.6727,2021,63,3,0,60,50,0.8333,0,0.8333
00347900,Belmont University,2024,2023,112,5,107,0.0446,0,0,0.0446,2,0,109,102,,0.9358,0.7436,0.1922,0,0.9358,2021,92,0,0,92,88,0.9565,0,0.9565
00350200,Lincoln Memorial University,2024,2023,97,16,81,0.1649,0,0,0.1649,11,0,92,56,,0.6087,0.7413,-0.1326,0,0.6087,2021,86,2,0,84,68,0.8095,0,0.8095
00350900,University of Memphis,2024,2023,99,0,80,0,19,0.1919,0.1919,12,0,92,70,,0.7609,0.7391,0.0218,0,0.7609,2021,117,0,3,114,99,0.8684,0,0.8684
00353000,University of Tennessee,2024,2023,114,13,101,0.114,0,0,0.114,3,0,104,87,,0.8365,0.7403,0.0962,0,0.8365,2021,120,5,4,110,101,0.9182,0,0.9182
00353500,Vanderbilt University,2024,2023,200,8,192,0.04,0,0,0.04,6,0,198,192,,0.9697,0.7781,0.1916,0,0.9697,2021,191,2,0,189,187,0.9894,0,0.9894
00354500,Baylor University,2024,2023,143,19,124,0.1329,0,0,0.1329,19,2,143,131,,0.9161,0.7903,0.1258,0,0.9161,2021,180,0,0,180,173,0.9611,0,0.9611
00361300,Southern Methodist University,2024,2023,217,12,205,0.0553,0,0,0.0553,14,3,219,186,,0.8493,0.7897,0.0596,0,0.8493,2021,210,5,0,205,196,0.9561,0,0.9561
00362300,"St. Mary's University",2024,2023,201,40,161,0.199,0,0,0.199,35,11,196,144,,0.7347,0.7921,-0.0574,0,0.7347,2021,200,7,0,193,177,0.9171,0,0.9171
00363221,Texas A&M University,2024,2023,165,14,151,0.0848,0,0,0.0848,6,5,157,146,,0.9299,0.7891,0.1408,0,0.9299,2021,170,4,0,166,163,0.9819,0,0.9819
00364200,Texas Southern University,2024,2023,156,41,115,0.2628,0,0,0.2628,30,7,145,92,,0.6345,0.7899,-0.1554,0,0.6345,2021,178,7,0,171,133,0.7778,0,0.7778
00364400,Texas Tech University,2024,2023,139,9,130,0.0647,0,0,0.0647,10,1,140,129,,0.9214,0.7913,0.1301,0,0.9214,2021,133,0,0,133,126,0.9474,0,0.9474
00365200,University of Houston,2024,2023,234,25,209,0.1068,0,0,0.1068,34,9,243,209,,0.8601,0.7896,0.0705,0,0.8601,2021,205,1,5,199,186,0.9347,0,0.9347
00365800,University of Texas at Austin,2024,2023,281,17,263,0.0605,1,0.0036,0.0641,21,2,284,267,,0.9401,0.7891,0.151,0,0.9401,2021,372,6,0,366,359,0.9809,0,0.9809
00367000,Brigham Young University,2024,2023,111,10,101,0.0901,0,0,0.0901,8,0,109,104,,0.9541,0.8429,0.1112,0,0.9541,2021,102,1,0,101,100,0.9901,0,0.9901
00367500,University of Utah,2024,2023,83,8,75,0.0964,0,0,0.0964,8,0,83,78,,0.9398,0.8791,0.0607,0,0.9398,2021,88,2,0,86,83,0.9651,0,0.9651
00370500,William and Mary Law School,2024,2023,217,10,203,0.0461,4,0.0184,0.0645,10,2,213,198,,0.9296,0.7773,0.1523,0,0.9296,2021,179,7,2,170,166,0.9765,0,0.9765
00374400,University of Richmond,2024,2023,150,9,141,0.06,0,0,0.06,6,4,147,117,,0.7959,0.768,0.0279,0,0.7959,2021,134,9,0,125,118,0.944,0,0.944
00374500,University of Virginia,2024,2023,289,12,277,0.0415,0,0,0.0415,9,0,286,276,,0.965,0.7939,0.1711,0,0.965,2021,318,2,0,316,313,0.9905,0,0.9905
00374900,George Mason University,2024,2023,155,16,137,0.1032,2,0.0129,0.1161,30,3,167,146,,0.8743,0.7903,0.084,0,0.8743,2021,154,5,2,147,144,0.9796,0,0.9796
00376800,Washington and Lee University,2024,2023,107,2,105,0.0187,0,0,0.0187,3,1,108,90,,0.8333,0.7784,0.0549,0,0.8333,2021,118,2,0,116,110,0.9483,0,0.9483
00377800,Gonzaga University,2024,2023,135,16,119,0.1185,0,0,0.1185,18,0,137,95,,0.6934,0.8,-0.1066,0,0.6934,2021,142,4,0,138,126,0.913,0,0.913
00379001,Seattle University,2024,2023,205,38,159,0.1854,8,0.039,0.2244,6,0,165,123,,0.7455,0.8211,-0.0756,0,0.7455,2021,197,5,8,184,165,0.8967,0,0.8967
00379800,University of Washington,2024,2023,168,20,148,0.119,0,0,0.119,14,0,162,151,,0.9321,0.8119,0.1202,0,0.9321,2021,166,9,0,157,155,0.9873,0,0.9873
00382700,West Virginia University,2024,2023,106,12,94,0.1132,0,0,0.1132,4,1,98,68,,0.6939,0.7367,-0.0428,0,0.6939,2021,103,2,0,101,89,0.8812,0,0.8812
00386300,Marquette University,2024,2023,186,2,184,0.0108,0,0,0.0108,1,0,1,0,,0,0.7542,-0.7542,184,0.9946,2021,189,188,0,1,1,1,186,1
00389500,University of Wisconsin,2024,2023,235,3,231,0.0128,1,0.0043,0.017,1,0,7,7,,1,0.7825,0.2175,225,1,2021,265,248,4,13,12,0.9231,245,0.9961
00393200,University of Wyoming,2024,2023,69,9,60,0.1304,0,0,0.1304,8,0,68,55,,0.8088,0.7815,0.0273,0,0.8088,2021,79,3,0,76,67,0.8816,0,0.8816
00393600,Pontifical Catholic University of P.R.,2024,2023,89,42,43,0.4719,4,0.0449,0.5169,26,0,69,43,,0.6232,0.4819,0.1413,0,0.6232,2021,95,4,1,90,57,0.6333,0,0.6333
00394200,University of Puerto Rico,2024,2023,139,22,117,0.1583,0,0,0.1583,23,0,140,72,,0.5143,0.4869,0.0274,0,0.5143,2021,137,11,0,126,101,0.8016,0,0.8016
00394700,"UC College of the Law, San Francisco",2024,2023,343,31,311,0.0904,1,0.0029,0.0933,12,3,323,233,,0.7214,0.7267,-0.0053,0,0.7214,2021,288,7,0,281,264,0.9395,0,0.9395
00396900,University of Minnesota,2024,2023,208,15,193,0.0721,0,0,0.0721,8,0,201,180,,0.8955,0.8023,0.0932,0,0.8955,2021,223,13,0,208,204,0.9808,2,0.981
00425090,Inter American University of Puerto Rico,2024,2023,134,47,74,0.3507,13,0.097,0.4478,69,0,143,65,,0.4545,0.4942,-0.0397,0,0.4545,2021,181,9,11,161,106,0.6584,0,0.6584
00497700,South Texas College of Law,2024,2023,258,44,214,0.1705,0,0,0.1705,76,0,290,233,,0.8034,0.7913,0.0121,0,0.8034,2021,264,4,0,260,235,0.9038,0,0.9038
00891600,New England Law | Boston,2024,2023,318,32,274,0.1006,12,0.0377,0.1384,21,0,295,211,,0.7153,0.7918,-0.0765,0,0.7153,2021,154,6,1,147,131,0.8912,0,0.8912
00927500,Northern Kentucky University,2024,2023,102,8,79,0.0784,15,0.1471,0.2255,8,0,87,71,,0.8161,0.7629,0.0532,0,0.8161,2021,102,2,12,90,84,0.9333,0,0.9333
00963500,Florida International University,2024,2023,162,32,130,0.1975,0,0,0.1975,18,0,148,128,,0.8649,0.6785,0.1864,0,0.8649,2021,158,6,0,152,143,0.9408,0,0.9408
01014205,Touro University,2024,2023,160,17,143,0.1063,0,0,0.1063,16,8,159,88,,0.5535,0.8207,-0.2672,0,0.5535,2021,134,3,0,131,101,0.771,0,0.771
01014913,Pepperdine University,2024,2023,165,20,145,0.1212,0,0,0.1212,11,0,156,130,,0.8333,0.7318,0.1015,0,0.8333,2021,148,11,0,137,125,0.9124,0,0.9124
01039501,University of San Diego,2024,2023,223,8,215,0.0359,0,0,0.0359,11,0,226,178,,0.7876,0.7252,0.0624,0,0.7876,2021,222,7,1,214,197,0.9206,0,0.9206
01164901,Loyola Marymount University-Los Angeles,2024,2023,318,37,281,0.1164,0,0,0.1164,25,0,306,241,,0.7876,0.7243,0.0633,0,0.7876,2021,309,18,,291,282,0.9691,,0.9691
01193400,Vermont Law School,2024,2023,113,8,98,0.0708,7,0.0619,0.1327,17,12,115,73,,0.6348,0.7312,-0.0964,0,0.6348,2021,162,11,10,141,106,0.7518,0,0.7518
01262700,Thomas M. Cooley Law School,2024,2023,161,47,114,0.2919,0,0,0.2919,90,0,204,76,,0.3725,0.674,-0.3015,0,0.3725,2021,429,37,0,392,219,0.5587,0,0.5587
01310300,California Western School of Law,2024,2023,183,64,119,0.3497,0,0,0.3497,63,0,182,88,,0.4835,0.7251,-0.2416,0,0.4835,2021,217,8,0,209,172,0.823,0,0.823
02053000,Liberty University,2024,2023,92,8,84,0.087,0,0,0.087,0,0,84,69,,0.8214,0.7523,0.0691,0,0.8214,2021,65,1,0,64,62,0.9688,0,0.9688
02179937,Western State College of Law,2024,2023,56,11,45,0.1964,0,0,0.1964,8,0,53,31,,0.5849,0.7224,-0.1375,0,0.5849,2021,76,0,0,76,52,0.6842,0,0.6842
03091300,Regent University,2024,2023,94,15,79,0.1596,0,0,0.1596,18,1,97,81,,0.8351,0.7546,0.0805,0,0.8351,2021,86,5,0,81,76,0.9383,2,0.9398
03173300,"Atlanta's John Marshall Law School",2024,2023,83,11,69,0.1325,3,0.0361,0.1687,8,0,77,50,,0.6494,0.7748,-0.1254,0,0.6494,2021,73,6,3,64,55,0.8594,0,0.8594
03191300,City University of New York,2024,2023,206,18,188,0.0874,0,0,0.0874,16,5,204,114,,0.5588,0.8194,-0.2606,0,0.5588,2021,188,0,3,185,167,0.9027,0,0.9027
03559300,Appalachian School of Law,2024,2023,50,8,42,0.16,0,0,0.16,7,0,49,30,,0.6122,0.7461,-0.1339,0,0.6122,2021,53,2,0,51,43,0.8431,0,0.8431
03691400,Ave Maria School of Law,2024,2023,75,10,65,0.1333,0,0,0.1333,28,0,93,63,,0.6774,0.6915,-0.0141,0,0.6774,2021,74,5,0,69,56,0.8116,0,0.8116
04096300,Charleston School of Law,2024,2023,168,34,128,0.2024,6,0.0357,0.2381,32,0,160,105,,0.6563,0.7721,-0.1158,0,0.6563,2021,180,3,5,172,132,0.7674,0,0.7674
04242101,UNT Dallas College Of Law,2024,2023,93,8,85,0.086,0,0,0.086,4,5,89,61,,0.6854,0.7887,-0.1033,0,0.6854,2021,110,6,0,104,92,0.8846,0,0.8846
