schoolid,schoolname,CalendarYear,Firsttimebaryear,GradTotal,GradDidNotTake,GradTakers,graddidnottakepct,GradNoInfo,gradnoinfopct,graddidnottakenoinfopct,PriorYrFirstTimeTaker,EarlyFirstTimeTakers,TotalFirstTimeTakers,totalfirsttimepassers,reportpct,avgschoolpasspct,avgstatepasspct,avgpasspctdiff,GradAltPath,AvgPassPctAltPath,UltimateBarYear,UltimateCohortTotal,UltimateDidNotTake,UltimateNoInfo,UltimateTakers,UltimatePassers,UltimateSchoolPassPct,UltimateAltPath,UltimatePassPctAltPath
00146800,St. Thomas University (Florida),2024,2023,221,42,177,0.19,2,0.009,0.1991,25,0,202,118,,0.5842,0.6781,-0.0939,0,0.5842,2021,150,2,0,148,112,0.7568,,0.7568
00148001,Florida A&M University,2024,2023,103,28,68,0.2718,7,0.068,0.3398,34,0,102,41,,0.402,0.7063,-0.3043,0,0.402,2021,157,7,2,148,113,0.7635,0,0.7635
00148900,Florida State University,2024,2023,203,33,163,0.1626,7,0.0345,0.197,19,0,182,151,,0.8297,0.6846,0.1451,,0.8297,2021,221,1,0,220,207,0.9409,0,0.9409
00150900,Nova Southeastern University,2024,2023,166,17,144,0.1024,5,0.0301,0.1325,14,1,158,101,,0.6392,0.6784,-0.0392,0,0.6392,2021,192,5,2,185,145,0.7838,0,0.7838
00153101,Stetson University,2024,2023,284,45,239,0.1585,,,0.1585,44,2,283,217,,0.7668,0.6812,0.0856,0,0.7668,2021,268,24,,244,219,0.8975,,0.8975
00153505,University of Florida,2024,2023,219,36,181,0.1644,2,0.0091,0.1735,35,1,216,177,,0.8194,0.7008,0.1186,0,0.8194,2021,272,7,0,265,246,0.9283,0,0.9283
00153601,University of Miami,2024,2023,398,68,330,0.1709,0,0,0.1709,55,1,385,291,,0.7558,0.6989,0.0569,0,0.7558,2021,363,13,0,350,319,0.9114,0,0.9114
00156400,Emory University,2024,2023,258,22,236,0.0853,0,0,0.0853,18,0,254,219,,0.8622,0.7737,0.0885,0,0.8622,2021,279,15,0,264,252,0.9545,0,0.9545
00157400,Georgia State University,2024,2023,184,28,156,0.1522,0,0,0.1522,21,0,177,139,,0.7853,0.7747,0.0106,0,0.7853,2021,163,0,12,151,141,0.9338,0,0.9338
00158015,Mercer University,2024,2023,124,5,119,0.0403,0,0,0.0403,0,0,119,91,,0.7647,0.7761,-0.0114,0,0.7647,2021,122,2,0,120,110,0.9167,0,0.9167
00159800,University of Georgia,2024,2023,169,9,160,0.0533,0,0,0.0533,6,0,166,152,,0.9157,0.7768,0.1389,0,0.9157,2021,200,6,0,194,193,0.9948,0,0.9948
00161000,University of Hawaii,2024,2023,88,22,66,0.25,0,0,0.25,15,0,81,56,,0.6914,0.694,-0.0026,0,0.6914,2021,111,0,9,102,92,0.902,0,0.902
00162600,University of Idaho,2024,2023,115,5,101,0.0435,9,0.0783,0.1217,2,0,103,77,,0.7476,0.7451,0.0025,0,0.7476,2021,143,5,0,138,110,0.7971,0,0.7971
00167100,Depaul University,2024,2023,150,10,129,0.0667,11,0.0733,0.14,11,0,140,105,,0.75,0.7806,-0.0306,0,0.75,2021,196,0,7,189,148,0.7831,0,0.7831
00169101,Chicago-Kent College of Law-IIT,2024,2023,212,20,169,0.0943,23,0.1085,0.2028,32,0,201,169,,0.8408,0.7828,0.058,0,0.8408,2021,232,1,19,212,192,0.9057,0,0.9057
00171000,Loyola University-Chicago,2024,2023,227,3,224,0.0132,0,0,0.0132,1,0,225,188,,0.8356,0.7793,0.0563,0,0.8356,2021,236,3,3,230,207,0.9,0,0.9
00173700,Northern Illinois University,2024,2023,95,21,74,0.2211,0,0,0.2211,15,0,89,53,,0.5955,0.7809,-0.1854,0,0.5955,2021,83,8,0,75,68,0.9067,0,0.9067
00173900,Northwestern University,2024,2023,278,16,262,0.0576,0,0,0.0576,0,0,262,240,,0.916,0.7856,0.1304,0,0.916,2021,273,0,6,267,264,0.9888,0,0.9888
00175800,Southern Illinois University-Carbondale,2024,2023,80,16,63,0.2,1,0.0125,0.2125,4,0,67,44,,0.6567,0.7871,-0.1304,0,0.6567,2021,62,3,0,59,45,0.7627,0,0.7627
