schoolid,schoolname,CalendarYear,TransIn,TransOut,TransOut1L,TransJD1GPA75,TransJD1GPA50,TransJD1GPA25
00318500,University of Tulsa,2024,4,,2,,,
00319700,Lewis and Clark College,2024,7,,4,,3.14,
00322300,University of Oregon,2024,0,,15,,,
00322700,Willamette University,2024,2,,7,,,
00325600,Drexel University,2024,2,,4,,,
00325800,Duquesne University,2024,5,,4,,,
00331301,Widener University-Delaware,2024,0,,8,,,
00331302,Widener Commonwealth,2024,1,,4,,,
00332900,Pennsylvania State University-Penn State Law,2024,0,,4,,,
00332922,Pennsylvania State University,2024,,,,,,
00332923,Pennsylvania State University-Dickinson School of Law,2024,0,,6,,,
00337101,Temple University,2024,3,,4,,,
00337800,University of Pennsylvania,2024,3,,2,,,
00337900,University of Pittsburgh,2024,1,,2,,,
00338801,Villanova University,2024,4,,2,,,
00341001,Roger Williams University,2024,2,,4,,,
00344800,University of South Carolina,2024,0,,1,,,
00347400,University of South Dakota,2024,2,,1,,,
00347900,Belmont University,2024,0,,5,,,
00350200,Lincoln Memorial University,2024,4,,5,,,
00350900,University of Memphis,2024,1,,0,,,
00353000,University of Tennessee,2024,4,,0,,,
00353500,Vanderbilt University,2024,19,,6,3.5,3.39,3.31
00354500,Baylor University,2024,1,,0,,,
00361300,Southern Methodist University,2024,12,,4,3.56,3.22,3.1
00362300,"St. Mary's University",2024,1,,8,,,
00363221,Texas A&M University,2024,9,,1,,3.54,
00364200,Texas Southern University,2024,1,,10,,,
00364400,Texas Tech University,2024,3,,3,,,
00365200,University of Houston,2024,19,,4,3.64,3.36,3.23
00365800,University of Texas at Austin,2024,9,,2,,3.71,
00367000,Brigham Young University,2024,2,,0,,,
00367500,University of Utah,2024,9,,3,,3.43,
00370500,William and Mary Law School,2024,3,,3,,,
00374400,University of Richmond,2024,2,,2,,,
00374500,University of Virginia,2024,0,,0,,,
00374900,George Mason University,2024,27,,4,3.49,3.26,3.14
00376800,Washington and Lee University,2024,0,,5,,,
00377800,Gonzaga University,2024,1,,8,,,
00379001,Seattle University,2024,3,,6,,,
00379800,University of Washington,2024,5,,8,,,
00382700,West Virginia University,2024,0,,2,,,
00386300,Marquette University,2024,0,,0,,,
00389500,University of Wisconsin,2024,7,,0,,3.36,
00393200,University of Wyoming,2024,0,,2,,,
00393600,Pontifical Catholic University of P.R.,2024,0,,2,,,
00394200,University of Puerto Rico,2024,8,,0,,3.56,
00394700,"UC College of the Law, San Francisco",2024,3,,36,,,
00396900,University of Minnesota,2024,4,,3,,,
00425090,Inter American University of Puerto Rico,2024,2,,6,,,
00497700,South Texas College of Law,2024,4,,15,,,
00891600,New England Law | Boston,2024,4,,14,,,
00927500,Northern Kentucky University,2024,3,,6,,,
00963500,Florida International University,2024,21,,4,3.43,3.28,3.13
01014205,Touro University,2024,1,,11,,,
01014913,Pepperdine University,2024,0,,8,,,
01039501,University of San Diego,2024,4,,3,,,
01164901,Loyola Marymount University-Los Angeles,2024,16,,16,3.19,3.1,2.93
01193400,Vermont Law School,2024,1,,6,,,
01262700,Thomas M. Cooley Law School,2024,1,,1,,,
01310300,California Western School of Law,2024,2,,11,,,
02053000,Liberty University,2024,0,,0,,,
02179937,Western State College of Law,2024,4,,5,,,
03091300,Regent University,2024,2,,2,,,
03173300,"Atlanta's John Marshall Law School",2024,3,,1,,,
03191300,City University of New York,2024,1,,6,,,
03559300,Appalachian School of Law,2024,2,,4,,,
03691400,Ave Maria School of Law,2024,0,,0,,,
04096300,Charleston School of Law,2024,4,,4,,,
04242101,UNT Dallas College Of Law,2024,4,,2,,,
