schoolid,schoolname,Cohort,LT_Emp,Bar_FTLT,Bar_FTST,Bar_PTLT,Bar_PTST,Bar_Emp,JDA_FTLT,JDA_FTST,JDA_PTLT,JDA_PTST,JDA_Emp,Prof_FTLT,Prof_FTST,Prof_PTLT,Prof_PTST,Prof_Emp,Nprof_FTLT,Nprof_FTST,Nprof_PTLT,Nprof_PTST,Nprof_Emp,Undet_FTLT,Undet_FTST,Undet_PTLT,Undet_PTST,Undet_Emp,GradSch_FT,GradSch,Emp_Def,Unemp_NS,Unemp_Seek,Emp_Stat_Unk,Total_Grads,FundBar_FTLT,FundBar_FTST,FundBar_PTLT,FundBar_PTST,FundBar_Emp,LawFund_LT,LawFund_ST,FundJDA_FTLT,FundJDA_FTST,FundJDA_PTLT,FundJDA_PTST,FundJDA_Emp,FundProf_FTLT,FundProf_FTST,FundProf_PTLT,FundProf_PTST,FundProf_Emp,FundNprof_FTLT,FundNprof_FTST,FundNprof_PTLT,FundNprof_PTST,FundNprof_Emp,Funded_FTLT,Funded_FTST,Funded_PTLT,Funded_PTST,Funded_Emp,Solo_FTLT,Solo_FTST,Solo_PTLT,Solo_PTST,Solo_Emp,Solo_LT,Solo_ST,Sz_1_10_FTLT,Sz_1_10_FTST,Sz_1_10_PTLT,Sz_1_10_PTST,Sz_1_10_Emp,Sz_2_10_LT,Sz_2_10_ST,Sz_11_25_FTLT,Sz_11_25_FTST,Sz_11_25_PTLT,Sz_11_25_PTST,Sz_11_25_Emp,Sz_11_25_LT,Sz_11_25_ST,Sz_26_50_FTLT,Sz_26_50_FTST,Sz_26_50_PTLT,Sz_26_50_PTST,Sz_26_50_Emp,Sz_26_50_LT,Sz_26_50_ST,Sz_51_100_FTLT,Sz_51_100_FTST,Sz_51_100_PTLT,Sz_51_100_PTST,Sz_51_100_Emp,Sz_51_100_LT,Sz_51_100_ST,Sz_101_250_FTLT,Sz_101_250_FTST,Sz_101_250_PTLT,Sz_101_250_PTST,Sz_101_250_Emp,Sz_101_250_LT,Sz_101_250_ST,Sz_251_500_FTLT,Sz_251_500_FTST,Sz_251_500_PTLT,Sz_251_500_PTST,Sz_251_500_Emp,Sz_251_500_LT,Sz_251_500_ST,Sz_501up_FTLT,Sz_501up_FTST,Sz_501up_PTLT,Sz_501up_PTST,Sz_501up_Emp,Sz_501up_LT,Sz_501up_ST,Sz_Unk_FTLT,Sz_Unk_FTST,Sz_Unk_PTLT,Sz_Unk_PTST,Sz_Unk_Emp,Sz_Unk_LT,Sz_Unk_ST,BsInd_FTLT,BsInd_FTST,BsInd_PTLT,BsInd_PTST,BsInd_Emp,BsInd_LT,BsInd_ST,Gov_FTLT,Gov_FTST,Gov_PTLT,Gov_PTST,Gov_Emp,Gov_LT,Gov_St,Pub_FTLT,Pub_FTST,Pub_PTLT,Pub_PTST,Pub_Emp,Pub_LT,Pub_ST,FedClk_FTLT,FedClk_FTST,FedClk_PTLT,FedClk_PTST,FedClk_Emp,FedClk_LT,FedClk_ST,LocClk_FTLT,LocClk_FTST,LocClk_PTLT,LocClk_PTST,LocClk_Emp,LocClk_LT,LocClk_ST,IntlClk,IntlClk_FTLT,IntlClk_FTST,IntlClk_PTLT,IntlClk_PTST,TribalClk,TribalClk_FTLT,TribalClk_FTST,TribalClk_PTLT,TribalClk_PTST,OthClk_FTLT,OthClk_FTST,OthClk_PTLT,OthClk_PTST,OthClk_Emp,Acad_FTLT,Acad_FTST,Acad_PTLT,Acad_PTST,Acad_Emp,Acad_LT,Acad_ST,Unk_FTLT,Unk_FTST,Unk_PTLT,Unk_PTST,Unk_Emp,Total_FTLT,Total_FTST,Total_PTLT,Total_PTST,Total_Emp_Type,Total_LT,Total_ST,State_Emp1,State_Emp1_Num,State_Emp2,State_Emp2_Num,State_Emp3,State_Emp3_Num,Foreign_Emp_Num
00131273,University of California-Berkeley,2024,,375,1,0,0,376,5,0,1,0,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,,0,1,0,1,408,19,2,0,0,21,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0,0,21,0,0,0,0,0,,,5,0,0,0,5,,,5,0,0,0,5,,,2,0,0,0,2,,,6,0,0,0,6,,,8,0,0,0,8,,,20,0,0,0,20,,,213,0,0,0,213,,,0,0,0,0,0,,,3,0,2,0,5,,,19,0,0,0,19,,,66,2,0,0,68,,,36,1,0,0,37,,,14,0,0,0,14,,,0,0,0,0,0,0,0,0,0,0,,,,,,2,0,0,0,2,,,0,0,0,0,0,399,3,2,0,404,,,CA,244,NY,59,DC,26,2
00131373,University of California-Davis,2024,,213,0,0,0,213,4,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,,1,3,4,7,243,5,0,0,0,5,,,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,5,0,0,3,8,0,0,0,0,0,,,18,0,0,0,18,,,16,0,0,0,16,,,6,0,0,0,6,,,8,0,0,0,8,,,7,0,0,0,7,,,7,0,0,0,7,,,64,0,0,0,64,,,0,0,0,0,0,,,7,0,1,0,8,,,30,0,0,0,30,,,44,0,0,0,44,,,3,0,0,0,3,,,10,0,0,0,10,,,0,0,0,0,0,0,0,0,0,0,,,,,,2,0,0,3,5,,,0,0,0,0,0,222,0,1,3,226,,,CA,192,DC,7,AK,4,4
00131400,University of California-Irvine,2024,,150,0,0,0,150,1,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,,1,2,6,0,164,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13,0,0,1,14,,,5,0,0,0,5,,,14,0,0,0,14,,,5,0,0,0,5,,,9,0,0,0,9,,,11,0,0,0,11,,,48,0,0,0,48,,,0,0,0,0,0,,,5,0,0,0,5,,,12,0,0,0,12,,,25,0,0,0,25,,,3,0,0,0,3,,,2,0,0,0,2,,,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,0,152,0,0,1,153,,,CA,131,DC,6,NY,6,0
00131500,University of California-Los Angeles,2024,,341,1,1,0,343,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,1,6,2,372,9,0,0,0,9,,,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0,0,0,,,17,0,1,0,18,,,15,0,0,0,15,,,10,0,0,0,10,,,8,0,0,0,8,,,15,0,0,0,15,,,12,0,0,0,12,,,188,0,0,0,188,,,0,0,0,0,0,,,5,0,0,0,5,,,13,0,0,0,13,,,53,0,0,0,53,,,18,1,0,0,19,,,4,0,0,0,4,,,0,0,0,0,0,0,0,0,0,0,,,,,,2,0,0,0,2,,,0,0,0,0,0,360,1,1,0,362,,,CA,282,NY,37,WA,6,5
00132500,University of San Francisco,2024,,79,0,1,1,81,11,2,1,0,14,1,0,0,1,2,0,0,3,1,4,0,0,0,0,0,3,,1,1,13,0,120,0,0,0,0,0,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,,11,1,2,0,14,,,9,0,0,0,9,,,9,0,0,0,9,,,5,0,0,1,6,,,1,0,0,0,1,,,4,0,0,0,4,,,16,0,0,0,16,,,0,0,0,0,0,,,10,0,3,0,13,,,19,0,0,0,19,,,7,1,0,0,8,,,1,0,0,0,1,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,2,2,92,2,5,3,102,,,CA,89,DC,2,WA,2,1
00132600,Santa Clara University,2024,,138,0,1,1,140,21,2,0,3,26,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,3,1,23,3,202,0,0,0,0,0,,,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,,,29,1,1,1,32,,,12,0,0,0,12,,,12,0,0,0,12,,,7,0,0,0,7,,,11,0,0,0,11,,,9,0,0,0,9,,,40,0,0,0,40,,,0,0,0,0,0,,,19,1,0,2,22,,,13,0,0,0,13,,,6,0,0,1,7,,,1,0,0,0,1,,,1,0,0,0,1,,,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,5,5,,,0,0,0,0,0,160,2,1,9,172,,,CA,160,OH,2,TX,2,1
00132800,University of Southern California,2024,,199,1,1,1,202,7,0,0,2,9,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,,1,1,3,0,221,2,0,0,0,2,,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,,,11,0,1,0,12,,,7,0,0,0,7,,,4,0,0,0,4,,,8,0,0,0,8,,,13,0,0,0,13,,,9,0,0,0,9,,,122,0,0,3,125,,,0,0,0,0,0,,,6,2,0,1,9,,,6,0,0,0,6,,,15,0,0,0,15,,,3,0,0,0,3,,,3,0,0,0,3,,,0,0,0,0,0,0,0,0,0,0,,,,,,2,0,0,0,2,,,0,0,0,0,0,209,2,1,4,216,,,CA,172,NY,23,TX,4,1
00132901,McGeorge School of Law,2024,,110,1,0,1,112,10,2,1,0,13,1,0,1,0,2,1,0,1,0,2,0,0,0,0,0,0,,2,1,14,0,146,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,,,27,0,2,0,29,,,21,0,0,0,21,,,15,0,0,0,15,,,9,0,0,0,9,,,3,0,0,0,3,,,0,0,0,0,0,,,8,0,0,0,8,,,0,0,0,0,0,,,3,0,0,0,3,,,19,0,0,0,19,,,13,3,1,1,18,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,1,0,0,0,1,122,3,3,1,129,,,CA,122,DC,2,FL,1,1
00137000,University of Colorado,2024,,146,0,0,0,146,5,0,0,0,5,1,0,1,0,2,0,0,0,1,1,0,0,0,0,0,1,,0,3,7,1,168,2,0,0,0,2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,,,12,0,0,0,12,,,7,0,0,0,7,,,8,0,0,0,8,,,3,0,0,0,3,,,6,0,0,0,6,,,10,0,0,0,10,,,31,0,0,0,31,,,0,0,0,0,0,,,7,0,0,1,8,,,25,0,0,0,25,,,14,0,0,0,14,,,3,0,0,0,3,,,28,0,0,0,28,,,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,1,0,1,,,0,0,0,0,0,154,0,1,1,156,,,CO,121,DC,7,CA,6,0
00137100,University of Denver,2024,,177,0,2,0,179,12,0,2,0,14,6,0,2,0,8,0,0,0,1,1,0,0,0,0,0,3,,7,1,16,0,232,2,0,0,1,3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,1,0,1,0,2,,,42,0,1,0,43,,,12,0,0,0,12,,,13,0,0,0,13,,,8,0,0,0,8,,,4,0,0,0,4,,,7,0,0,0,7,,,20,0,0,0,20,,,0,0,0,0,0,,,18,0,3,1,22,,,25,0,0,1,26,,,18,0,1,0,19,,,0,0,0,0,0,,,25,0,0,0,25,,,0,0,0,0,0,0,0,0,0,0,,,,,,4,0,0,0,4,,,0,0,0,0,0,197,0,6,2,205,,,CO,176,DC,4,IL,4,0
