schoolid,schoolname,CalendarYear,TotalJD,HispanicJD,AmIndianJD,AsianJD,BlackJD,NatHawJD,TwoorMoreJD,MinorityJD,WhiteJD,NonresalienJD,UnknownJD,MenJD,HispanicMenJD,AmIndianMenJD,AsianMenJD,BlackMenJD,NatHawMenJD,TwoorMoreMenJD,MinorityMenJD,WhiteMenJD,NonresalienMenJD,UnknownMenJD,WomenJD,HispanicWomenJD,AmIndianWomenJD,AsianWomenJD,BlackWomenJD,NatHawWomenJD,TwoorMoreWomenJD,MinorityWomenJD,WhiteWomenJD,NonresalienWomenJD,UnknownWomenJD,TotalFTJD,FTHispanicJD,FTAmIndJD,FTAsianJD,FTBlackJD,FTNatHawJD,FTTwoorMoreJD,FTMinorityJD,FTWhiteJD,FTNonresalienJD,FTUnknownJD,TotalPTJD,PTHispanicJD,PTAmIndJD,PTAsianJD,PTBlackJD,PTNatHawJD,PTTwoorMoreJD,PTMinorityJD,PTWhiteJD,PTNonresalienJD,PTUnknownJD,AGIJD,PNRJD,AmIndianAGIJD,AmIndianPNRJD,AsianAGIJD,AsianPNRJD,BlackAGIJD,BlackPNRJD,HispanicAGIJD,HispanicPNRJD,MinorityAGIJD,MinorityPNRJD,NatHawAGIJD,NatHawPNRJD,TwoorMoreAGIJD,TwoorMorePNRJD,NonresalienAGIJD,NonresalienPNRJD,UnknownAGIJD,UnknownPNRJD,WhiteAGIJD,WhitePNRJD,TotalJD1,HispanicJD1,AmIndianJD1,AsianJD1,BlackJD1,NatHawJD1,TwoorMoreJD1,MinorityJD1,WhiteJD1,NonresalienJD1,UnknownJD1,AmIndianMenJD1,AmIndianAGIJD1,AmIndianPNRJD1,AmIndianWomenJD1,AsianMenJD1,AsianAGIJD1,AsianPNRJD1,AsianWomenJD1,BlackMenJD1,BlackAGIJD1,BlackPNRJD1,BlackWomenJD1,HispanicMenJD1,HispanicAGIJD1,HispanicPNRJD1,HispanicWomenJD1,MinorityMenJD1,MinorityAGIJD1,MinorityPNRJD1,MinorityWomenJD1,NatHawMenJD1,NatHawAGIJD1,NatHawPNRJD1,NatHawWomenJD1,NonresalienMenJD1,NonresalienAGIJD1,NonresalienPNRJD1,NonresalienWomenJD1,TwoorMoreMenJD1,TwoorMoreAGIJD1,TwoorMorePNRJD1,TwoorMoreWomenJD1,UnknownMenJD1,UnknownAGIJD1,UnknownPNRJD1,UnknownWomenJD1,WhiteMenJD1,WhiteAGIJD1,WhitePNRJD1,WhiteWomenJD1,MenJD1,AGIJD1,PNRJD1,WomenJD1,TotalJD2,AmIndianJD2,AmIndianMenJD2,AmIndianAGIJD2,AmIndianPNRJD2,AmIndianWomenJD2,AsianJD2,AsianMenJD2,AsianAGIJD2,AsianPNRJD2,AsianWomenJD2,BlackJD2,BlackMenJD2,BlackAGIJD2,BlackPNRJD2,BlackWomenJD2,HispanicJD2,HispanicMenJD2,HispanicAGIJD2,HispanicPNRJD2,HispanicWomenJD2,MinorityJD2,MinorityMenJD2,MinorityAGIJD2,MinorityPNRJD2,MinorityWomenJD2,NatHawJD2,NatHawMenJD2,NatHawAGIJD2,NatHawPNRJD2,NatHawWomenJD2,NonresalienJD2,NonresalienMenJD2,NonresalienAGIJD2,NonresalienPNRJD2,NonresalienWomenJD2,TwoorMoreJD2,TwoorMoreMenJD2,TwoorMoreAGIJD2,TwoorMorePNRJD2,TwoorMoreWomenJD2,UnknownJD2,UnknownMenJD2,UnknownAGIJD2,UnknownPNRJD2,UnknownWomenJD2,WhiteJD2,WhiteMenJD2,WhiteAGIJD2,WhitePNRJD2,WhiteWomenJD2,MenJD2,AGIJD2,PNRJD2,WomenJD2,TotalJD3,AmIndianJD3,AmIndianMenJD3,AmIndianAGIJD3,AmIndianPNRJD3,AmIndianWomenJD3,AsianJD3,AsianMenJD3,AsianAGIJD3,AsianPNRJD3,AsianWomenJD3,BlackJD3,BlackMenJD3,BlackAGIJD3,BlackPNRJD3,BlackWomenJD3,HispanicJD3,HispanicMenJD3,HispanicAGIJD3,HispanicPNRJD3,HispanicWomenJD3,MinorityJD3,MinorityMenJD3,MinorityAGIJD3,MinorityPNRJD3,MinorityWomenJD3,NatHawJD3,NatHawMenJD3,NatHawAGIJD3,NatHawPNRJD3,NatHawWomenJD3,NonresalienJD3,NonresalienMenJD3,NonresalienAGIJD3,NonresalienPNRJD3,NonresalienWomenJD3,TwoorMoreJD3,TwoorMoreMenJD3,TwoorMoreAGIJD3,TwoorMorePNRJD3,TwoorMoreWomenJD3,UnknownJD3,UnknownMenJD3,UnknownAGIJD3,UnknownPNRJD3,UnknownWomenJD3,WhiteJD3,WhiteMenJD3,WhiteAGIJD3,WhitePNRJD3,WhiteWomenJD3,MenJD3,AGIJD3,PNRJD3,WomenJD3,TotalJD4,AmIndianJD4,AmIndianMenJD4,AmIndianAGIJD4,AmIndianPNRJD4,AmIndianWomenJD4,AsianJD4,AsianMenJD4,AsianAGIJD4,AsianPNRJD4,AsianWomenJD4,BlackJD4,BlackMenJD4,BlackAGIJD4,BlackPNRJD4,BlackWomenJD4,HispanicJD4,HispanicMenJD4,HispanicAGIJD4,HispanicPNRJD4,HispanicWomenJD4,MinorityJD4,MinorityMenJD4,MinorityAGIJD4,MinorityPNRJD4,MinorityWomenJD4,NatHawJD4,NatHawMenJD4,NatHawAGIJD4,NatHawPNRJD4,NatHawWomenJD4,NonresalienJD4,NonresalienMenJD4,NonresalienAGIJD4,NonresalienPNRJD4,NonresalienWomenJD4,TwoorMoreJD4,TwoorMoreMenJD4,TwoorMoreAGIJD4,TwoorMorePNRJD4,TwoorMoreWomenJD4,UnknownJD4,UnknownMenJD4,UnknownAGIJD4,UnknownPNRJD4,UnknownWomenJD4,WhiteJD4,WhiteMenJD4,WhiteAGIJD4,WhitePNRJD4,WhiteWomenJD4,MenJD4,AGIJD4,PNRJD4,WomenJD4
00131273,University of California-Berkeley,2024,1008,122,3,257,50,0,91,523,463,,22,346,31,1,76,11,0,30,149,191,,6,607,87,2,167,39,0,56,351,242,,14,,,,,,,,,,,,,,,,,,,,,,,32,23,0,0,7,7,0,0,3,1,13,10,0,0,3,2,,,0,2,19,11,350,41,0,83,21,0,30,175,167,,8,0,0,0,0,27,3,3,50,6,0,0,15,11,1,1,28,52,6,6,111,0,0,0,0,,,,,8,2,2,18,2,0,1,5,62,9,7,89,116,15,14,205,370,3,1,0,0,2,100,34,2,4,60,14,1,0,0,13,45,13,1,0,31,200,61,4,4,131,0,0,0,0,0,,,,,,38,12,1,0,25,8,1,0,1,6,162,65,7,3,87,127,11,8,224,288,0,0,0,0,0,74,15,2,0,57,15,4,0,0,11,36,7,1,0,28,148,36,3,0,109,0,0,0,0,0,,,,,,23,10,0,0,13,6,3,0,0,3,134,64,3,1,66,103,6,1,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00131373,University of California-Davis,2024,605,120,5,139,29,0,56,349,249,,7,248,61,2,49,7,0,11,130,113,,5,345,57,3,86,22,0,44,212,132,,1,,,,,,,,,,,,,,,,,,,,,,,10,2,0,0,4,0,0,0,1,1,6,1,0,0,1,0,,,1,0,3,1,198,53,2,40,16,0,19,130,67,,1,2,0,0,0,15,0,0,25,5,0,0,11,34,1,0,18,58,1,0,71,0,0,0,0,,,,,2,0,0,17,1,0,0,0,31,0,1,35,90,1,1,106,201,2,0,0,0,2,42,13,2,0,27,11,2,0,0,9,37,15,0,1,21,107,34,2,1,70,0,0,0,0,0,,,,,,15,4,0,0,11,4,3,0,0,1,90,36,2,0,52,73,4,1,123,206,1,0,0,0,1,57,21,2,0,34,2,0,0,0,2,30,12,0,0,18,112,38,3,0,71,0,0,0,0,0,,,,,,22,5,1,0,16,2,1,1,0,0,92,46,1,0,45,85,5,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00131400,University of California-Irvine,2024,473,77,1,136,18,0,33,265,199,,9,202,30,0,53,8,0,16,107,91,,4,240,43,1,73,9,0,14,140,97,,3,,,,,,,,,,,,,,,,,,,,,,,10,21,0,0,3,7,0,1,2,2,6,12,0,0,1,2,,,1,1,3,8,173,25,1,58,5,0,13,102,68,,3,0,0,0,1,20,3,5,30,1,0,1,3,7,0,1,17,34,3,8,57,0,0,0,0,,,,,6,0,1,6,1,1,1,0,30,1,5,32,65,5,14,89,142,0,0,0,0,0,38,17,0,1,20,4,3,0,0,1,23,11,2,0,10,73,34,3,2,34,0,0,0,0,0,,,,,,8,3,1,1,3,3,0,0,0,3,66,30,1,2,33,64,4,4,70,158,0,0,0,0,0,40,16,0,1,23,9,4,0,0,5,29,12,0,1,16,90,39,0,2,49,0,0,0,0,0,,,,,,12,7,0,0,5,3,3,0,0,0,65,31,1,1,32,73,1,3,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00131500,University of California-Los Angeles,2024,994,190,8,145,65,0,69,477,475,,42,410,80,3,49,19,0,26,177,211,,22,573,110,5,94,45,0,43,297,259,,17,,,,,,,,,,,,,,,,,,,,,,,8,3,0,0,2,0,1,0,0,0,3,0,0,0,0,0,,,0,3,5,0,315,59,4,51,22,0,20,156,144,,15,1,0,0,3,13,0,0,38,6,0,0,16,32,0,0,27,59,0,0,97,0,0,0,0,,,,,7,0,0,13,9,0,1,5,74,1,0,69,142,1,1,171,335,2,0,0,0,2,53,18,1,0,34,28,8,0,0,20,57,22,0,0,35,162,55,1,0,106,0,0,0,0,0,,,,,,22,7,0,0,15,11,6,0,0,5,162,68,1,0,93,129,2,0,204,344,2,2,0,0,0,41,18,1,0,22,15,5,1,0,9,74,26,0,0,48,159,63,2,0,94,0,0,0,0,0,,,,,,27,12,0,0,15,16,7,0,2,7,169,69,3,0,97,139,5,2,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00132500,University of San Francisco,2024,460,131,1,64,40,0,37,273,177,,10,176,46,1,17,16,0,13,93,78,,5,281,84,0,46,24,0,24,178,98,,5,,,,,,,,,,,,,,,,,,,,,,,2,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,,,0,0,0,1,168,45,0,28,16,0,12,101,64,,3,0,0,0,0,7,1,0,20,6,0,0,10,19,0,0,26,37,1,0,63,0,0,0,0,,,,,5,0,0,7,2,0,0,1,31,0,0,33,70,1,0,97,156,1,1,0,0,0,16,5,0,0,11,13,6,0,0,7,51,14,0,0,37,95,31,0,0,64,0,0,0,0,0,,,,,,14,5,0,0,9,5,1,0,0,4,56,25,0,0,31,57,0,0,99,126,0,0,0,0,0,19,5,0,0,14,11,4,0,0,7,32,13,1,0,18,73,25,1,0,47,0,0,0,0,0,,,,,,11,3,0,0,8,1,1,0,0,0,52,21,0,0,31,47,1,0,78,10,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,3,4,0,0,0,4,0,0,0,0,0,,,,,,0,0,0,0,0,1,1,0,0,0,5,1,0,1,3,2,0,1,7
00132600,Santa Clara University,2024,694,153,0,165,20,2,40,380,289,,25,286,60,0,59,9,0,15,143,132,,11,404,93,0,106,11,2,24,236,155,,13,,,,,,,,,,,,,,,,,,,,,,,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,1,0,2,0,252,47,0,66,6,0,18,137,102,,13,0,0,0,0,21,0,0,45,2,0,0,4,17,0,0,30,45,1,0,91,0,0,0,0,,,,,5,1,0,12,5,1,0,7,45,2,0,55,95,4,0,153,262,0,0,0,0,0,55,17,0,0,38,6,3,0,0,3,64,24,0,0,40,142,50,0,0,92,1,0,0,0,1,,,,,,16,6,0,0,10,8,4,0,0,4,112,49,0,0,63,103,0,0,159,159,0,0,0,0,0,41,19,0,0,22,7,4,0,0,3,35,16,0,0,19,90,43,0,0,47,1,0,0,0,1,,,,,,6,4,0,0,2,4,2,0,0,2,65,35,0,0,30,80,0,0,79,21,0,0,0,0,0,3,2,0,0,1,1,0,0,0,1,7,3,0,0,4,11,5,0,0,6,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,10,3,0,0,7,8,0,0,13
00132800,University of Southern California,2024,635,59,0,152,52,1,60,324,277,,34,242,23,0,46,18,1,17,105,124,,13,391,36,0,105,34,0,43,218,152,,21,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,,0,0,1,0,201,7,0,53,20,0,31,111,82,,8,0,0,0,0,19,0,0,34,5,0,0,15,1,0,0,6,35,0,0,76,0,0,0,0,,,,,10,0,0,21,5,0,0,3,40,1,0,41,80,1,0,120,204,0,0,0,0,0,50,16,0,0,34,16,6,0,0,10,29,15,0,0,14,109,42,0,0,67,1,1,0,0,0,,,,,,13,4,0,0,9,17,7,0,0,10,78,37,0,0,41,86,0,0,118,230,0,0,0,0,0,49,11,1,0,37,16,7,0,0,9,23,7,0,0,16,104,28,1,0,75,0,0,0,0,0,,,,,,16,3,0,0,13,9,1,0,0,8,117,47,0,0,70,76,1,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00132901,McGeorge School of Law,2024,577,154,3,89,26,0,40,312,242,,23,213,45,1,26,8,0,15,95,109,,9,340,103,2,58,16,0,24,203,125,,12,,,,,,,,,,,,,,,,,,,,,,,0,24,0,0,0,5,0,2,0,6,0,14,0,0,0,1,,,0,2,0,8,217,53,1,42,15,0,11,122,84,,11,0,0,0,1,14,0,2,26,3,0,1,11,10,0,1,42,31,0,4,87,0,0,0,0,,,,,4,0,0,7,4,0,1,6,35,0,5,44,70,0,10,137,187,2,1,0,0,1,25,7,0,1,17,8,2,0,1,5,46,13,0,3,30,100,29,0,6,65,0,0,0,0,0,,,,,,19,6,0,1,12,9,4,0,1,4,78,36,0,2,40,69,0,9,109,150,0,0,0,0,0,20,4,0,2,14,3,3,0,0,0,50,21,0,2,27,82,33,0,4,45,0,0,0,0,0,,,,,,9,5,0,0,4,2,0,0,0,2,66,29,0,1,36,62,0,5,83,23,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,5,1,0,0,4,8,2,0,0,6,0,0,0,0,0,,,,,,1,0,0,0,1,1,1,0,0,0,14,9,0,0,5,12,0,0,11
00137000,University of Colorado,2024,511,84,3,23,9,1,32,152,352,,7,206,28,2,10,5,0,9,54,148,,4,295,54,1,12,4,1,22,94,198,,3,,,,,,,,,,,,,,,,,,,,,,,10,0,0,0,1,0,0,0,2,0,4,0,0,0,1,0,,,0,0,6,0,189,23,1,5,4,1,7,41,145,,3,1,0,0,0,1,0,0,4,2,0,0,2,9,2,0,12,14,2,0,25,0,0,0,1,,,,,1,0,0,6,2,0,0,1,60,1,0,84,76,3,0,110,167,1,0,0,0,1,9,2,1,0,6,2,1,0,0,1,34,11,0,0,23,59,18,1,0,40,0,0,0,0,0,,,,,,13,4,0,0,9,1,0,0,0,1,107,45,3,0,59,63,4,0,100,155,1,1,0,0,0,9,7,0,0,2,3,2,0,0,1,27,8,0,0,19,52,22,1,0,29,0,0,0,0,0,,,,,,12,4,1,0,7,3,2,0,0,1,100,43,2,0,55,67,3,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00137100,University of Denver,2024,864,96,4,43,18,1,45,207,627,,30,306,28,2,12,4,1,17,64,235,,7,503,66,2,27,14,0,26,135,348,,20,,,,,,,,,,,,,,,,,,,,,,,11,44,0,0,1,3,0,0,0,2,1,7,0,0,0,2,,,0,3,10,34,271,32,1,14,10,0,15,72,191,,8,1,0,0,0,4,0,1,9,0,0,0,10,9,0,0,23,19,0,1,52,0,0,0,0,,,,,5,0,0,10,1,0,0,7,77,5,3,106,97,5,4,165,264,0,0,0,0,0,8,3,0,2,3,4,2,0,0,2,27,7,0,2,18,52,19,0,6,27,0,0,0,0,0,,,,,,13,7,0,2,4,11,2,0,3,6,201,69,1,26,105,90,1,35,138,278,3,1,0,0,2,20,5,1,0,14,3,2,0,0,1,32,12,0,0,20,75,26,1,0,48,1,0,0,0,0,,,,,,16,5,0,0,11,7,3,0,0,4,196,73,4,5,114,102,5,5,166,51,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,5,0,0,0,5,8,0,0,0,8,0,1,0,0,0,,,,,,1,0,0,0,1,4,1,0,0,3,39,16,0,0,23,17,0,0,34
00140201,Quinnipiac University,2024,389,62,0,16,18,0,11,107,259,,23,150,16,0,6,6,0,2,30,109,,11,239,46,0,10,12,0,9,77,150,,12,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,146,25,0,5,9,0,5,44,90,,12,0,0,0,0,3,0,0,2,4,0,0,5,5,0,0,20,12,0,0,32,0,0,0,0,,,,,0,0,0,5,5,0,0,7,35,0,0,55,52,0,0,94,107,0,0,0,0,0,5,0,0,0,5,4,0,0,0,4,19,7,0,0,12,31,8,0,0,23,0,0,0,0,0,,,,,,3,1,0,0,2,4,4,0,0,0,72,33,0,0,39,45,0,0,62,119,0,0,0,0,0,6,3,0,0,3,4,2,0,0,2,13,4,0,0,9,26,10,0,0,16,0,0,0,0,0,,,,,,3,1,0,0,2,6,2,0,0,4,87,37,0,0,50,49,0,0,70,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,5,6,0,0,0,6,0,0,0,0,0,,,,,,0,0,0,0,0,1,0,0,0,1,10,4,0,0,6,4,0,0,13
00141706,University of Connecticut,2024,471,56,2,36,37,0,7,138,310,,23,187,18,1,10,16,0,1,46,134,,7,281,37,1,26,20,0,6,90,175,,16,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,,,0,0,1,0,148,19,1,13,8,0,4,45,99,,4,1,0,0,0,4,0,0,9,4,1,0,3,8,0,0,11,18,1,0,26,0,0,0,0,,,,,1,0,0,3,3,0,0,1,42,1,0,56,63,2,0,83,148,0,0,0,0,0,10,1,0,0,9,14,6,0,0,8,22,5,1,0,16,47,12,1,0,34,0,0,0,0,0,,,,,,1,0,0,0,1,6,2,0,0,4,95,45,0,0,50,59,1,0,88,154,0,0,0,0,0,11,4,0,0,7,14,6,0,0,8,11,3,0,0,8,38,13,0,0,25,0,0,0,0,0,,,,,,2,0,0,0,2,12,2,0,0,10,104,43,0,0,61,58,0,0,96,21,1,0,0,0,1,2,1,0,0,1,1,0,0,0,1,4,2,0,0,2,8,3,0,0,5,0,0,0,0,0,,,,,,0,0,0,0,0,1,0,0,0,1,12,4,0,0,8,7,0,0,14
00142600,Yale University,2024,615,96,5,115,70,0,45,331,280,,4,281,49,2,46,24,0,19,140,138,,3,327,46,3,67,46,0,26,188,138,,1,,,,,,,,,,,,,,,,,,,,,,,7,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,,,0,0,4,0,205,27,0,34,25,0,16,102,101,,2,0,0,0,0,12,0,0,22,7,0,0,18,14,0,0,13,40,0,0,62,0,0,0,0,,,,,7,0,0,9,1,0,0,1,48,0,0,53,89,0,0,116,203,1,0,0,0,1,40,15,0,0,25,23,9,0,0,14,37,21,0,0,16,113,50,0,0,63,0,0,0,0,0,,,,,,12,5,0,0,7,1,1,0,0,0,89,43,3,0,43,94,3,0,106,207,4,2,0,0,2,41,19,2,0,20,22,8,0,0,14,32,14,1,0,17,116,50,3,0,63,0,0,0,0,0,,,,,,17,7,0,0,10,1,1,0,0,0,90,47,1,0,42,98,4,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00143401,American University,2024,1230,177,0,125,78,0,64,444,730,,56,422,60,0,33,13,0,17,123,276,,23,806,117,0,92,65,0,47,321,452,,33,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,2,0,416,60,0,42,30,0,28,160,238,,18,0,0,0,0,9,0,0,33,7,0,0,23,19,0,0,41,42,0,0,118,0,0,0,0,,,,,7,0,0,21,7,0,0,11,83,2,0,153,132,2,0,282,377,0,0,0,0,0,49,16,0,0,33,23,3,0,0,20,61,21,0,0,40,144,44,0,0,100,0,0,0,0,0,,,,,,11,4,0,0,7,19,6,0,0,13,214,89,0,0,125,139,0,0,238,376,0,0,0,0,0,28,5,0,0,23,25,3,0,0,22,52,18,0,0,34,129,32,0,0,97,0,0,0,0,0,,,,,,24,6,0,0,18,14,7,0,0,7,233,83,0,0,150,122,0,0,254,61,0,0,0,0,0,6,3,0,0,3,0,0,0,0,0,4,2,0,0,2,11,5,0,0,6,0,0,0,0,0,,,,,,1,0,0,0,1,5,3,0,0,2,45,21,0,0,24,29,0,0,32
00143711,Catholic University of America,2024,374,36,0,18,18,0,21,93,256,,25,173,16,0,7,6,0,11,40,117,,16,194,20,0,11,12,0,9,52,135,,7,,,,,,,,,,,,,,,,,,,,,,,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,,0,2,0,4,126,19,0,7,7,0,4,37,75,,14,0,0,0,0,2,0,0,5,2,0,0,5,10,0,0,9,17,0,0,20,0,0,0,0,,,,,3,0,0,1,8,0,2,4,39,0,3,33,64,0,5,57,104,0,0,0,0,0,6,3,0,0,3,4,2,0,0,2,12,5,0,0,7,25,12,0,1,12,0,0,0,0,0,,,,,,3,2,0,1,0,4,2,0,0,2,75,35,0,1,39,49,0,2,53,116,0,0,0,0,0,5,2,0,0,3,5,2,0,0,3,4,0,0,0,4,25,8,0,0,17,0,0,0,0,0,,,,,,11,4,0,0,7,5,4,0,0,1,86,34,0,0,52,46,0,0,70,28,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,1,0,0,0,6,3,0,0,3,0,0,0,0,0,,,,,,3,2,0,0,1,2,2,0,0,0,20,9,0,0,11,14,0,0,14
00144102,District of Columbia,2024,235,36,0,10,106,0,17,169,62,,4,78,9,0,3,37,0,5,54,23,,1,154,26,0,7,68,0,12,113,39,,2,,,,,,,,,,,,,,,,,,,,,,,2,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,,,1,0,0,0,70,9,0,6,38,0,1,54,13,,3,0,0,0,0,2,0,0,4,17,1,0,20,1,0,1,7,21,1,1,31,0,0,0,0,,,,,1,0,0,0,0,1,0,2,6,0,0,7,27,2,1,40,75,0,0,0,0,0,2,0,0,0,2,27,9,0,0,18,12,3,0,0,9,50,16,0,0,34,0,0,0,0,0,,,,,,9,4,0,0,5,1,1,0,0,0,24,8,0,0,16,25,0,0,50,69,0,0,0,0,0,1,0,0,0,1,33,8,0,0,25,9,3,0,0,6,48,11,0,0,37,0,0,0,0,0,,,,,,5,0,0,0,5,0,0,0,0,0,21,8,0,0,13,19,0,0,50,21,0,0,0,0,0,1,1,0,0,0,8,3,0,0,5,6,2,0,0,4,17,6,0,0,11,0,0,0,0,0,,,,,,2,0,0,0,2,0,0,0,0,0,4,1,0,0,3,7,0,0,14
00144402,George Washington University,2024,1677,108,3,188,133,0,70,502,918,,257,714,38,1,80,38,0,33,190,430,,94,948,70,2,107,94,0,37,310,482,,156,,,,,,,,,,,,,,,,,,,,,,,5,10,0,0,0,1,0,1,0,0,0,2,0,0,0,0,,,3,4,2,4,540,40,0,65,41,0,21,167,302,,71,0,0,0,0,23,0,1,41,7,0,0,34,13,0,0,27,49,0,1,117,0,0,0,0,,,,,6,0,0,15,28,0,2,41,122,0,4,176,199,0,7,334,567,0,0,0,0,0,58,24,0,0,34,54,18,0,1,35,49,16,0,0,33,194,79,0,1,114,0,0,0,0,0,,,,,,33,21,0,0,12,89,31,1,1,56,284,151,1,0,132,261,2,2,302,557,3,1,0,0,2,65,33,0,0,32,36,13,0,0,23,18,9,0,0,9,138,62,0,0,76,0,0,0,0,0,,,,,,16,6,0,0,10,95,34,2,1,58,324,152,1,0,171,248,3,1,305,13,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,1,3,0,0,0,3,0,0,0,0,0,,,,,,0,0,0,0,0,2,1,0,0,1,8,5,0,0,3,6,0,0,7
00144503,Georgetown University,2024,2176,142,6,310,153,1,83,695,1209,,272,952,62,3,133,50,0,23,271,545,,136,1210,77,3,175,103,1,60,419,658,,133,,,,,,,,,,,,,,,,,,,,,,,0,14,0,0,0,2,0,0,0,3,0,5,0,0,0,0,,,0,3,0,6,656,44,1,114,30,1,21,211,360,,85,0,0,0,1,46,0,2,66,8,0,0,22,21,0,3,20,79,0,5,127,0,0,0,1,,,,,4,0,0,17,39,0,1,45,151,0,5,204,269,0,11,376,708,2,1,0,0,1,100,49,0,0,51,48,15,0,0,33,45,16,0,0,29,222,88,0,0,134,0,0,0,0,0,,,,,,27,7,0,0,20,106,61,0,1,44,380,166,0,0,214,315,0,1,392,759,3,2,0,0,1,91,35,0,0,56,65,22,0,0,43,48,22,0,0,26,241,93,0,0,148,0,0,0,0,0,,,,,,34,12,0,0,22,77,34,0,0,43,441,214,0,1,226,341,0,1,417,53,0,0,0,0,0,5,3,0,0,2,10,5,0,0,5,5,3,0,0,2,21,11,0,0,10,0,0,0,0,0,,,,,,1,0,0,0,1,4,2,0,1,1,28,14,0,0,14,27,0,1,25
00144802,Howard University,2024,526,20,0,6,423,0,64,513,6,,7,199,8,0,1,160,0,24,193,2,,4,318,11,0,5,257,0,40,313,2,,3,,,,,,,,,,,,,,,,,,,,,,,9,0,0,0,0,0,6,0,1,0,7,0,0,0,0,0,,,0,0,2,0,201,18,0,6,159,0,7,190,5,,6,0,0,0,0,1,0,0,5,45,5,0,109,7,1,0,10,54,6,0,130,0,0,0,0,,,,,1,0,0,6,3,0,0,3,2,2,0,1,59,8,0,134,180,0,0,0,0,0,0,0,0,0,0,151,69,1,0,81,0,0,0,0,0,180,79,1,0,100,0,0,0,0,0,,,,,,29,10,0,0,19,0,0,0,0,0,0,0,0,0,0,79,1,0,100,145,0,0,0,0,0,0,0,0,0,0,113,46,0,0,67,2,1,0,0,1,143,60,0,0,83,0,0,0,0,0,,,,,,28,13,0,0,15,1,1,0,0,0,1,0,0,0,1,61,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
