schoolid,schoolname,CalendarYear,AcademicYear,FacTotal,FacMen,FacWomen,FacAGI,FacPNR,FacMinority,FTFacTotal,FTFacMen,FTFacWomen,FTFacAGI,FTFacPNR,FTFacMinority,NonFTFacTotal,NonFTFacMen,NonFTFacWomen,NonFTFacAGI,NonFTFacPNR,NonFTFacMinority,TotalLibrarian,FTLibrarian,PTLibrarian,TotalAdmin,FTAdmin,PTAdmin
00173700,Northern Illinois University,2024,2023,57,32,25,0,0,17,30,14,16,0,0,6,27,18,9,0,0,11,3,3,0,,,
00173900,Northwestern University,2024,2023,278,160,118,0,0,58,128,62,66,0,0,28,150,98,52,0,0,30,12,12,0,,,
00175800,Southern Illinois University-Carbondale,2024,2023,36,14,22,0,0,5,22,9,13,0,0,2,14,5,9,0,0,3,2,2,0,,,
00177400,University of Chicago,2024,2023,198,131,63,0,4,32,89,55,34,0,0,18,109,76,29,0,4,14,10,10,0,,,
00177500,University of Illinois,2024,2023,132,74,58,0,0,29,50,23,27,0,0,10,82,51,31,0,0,19,5,5,0,,,
00177608,University of Illinois Chicago School of Law,2024,2023,205,109,96,0,0,61,53,27,26,0,0,20,152,82,70,0,0,41,7,6,1,,,
00180900,Indiana University - Bloomington,2024,2023,127,77,50,0,0,20,64,38,26,0,0,13,63,39,24,0,0,7,9,9,0,,,
00181300,Indiana University - Indianapolis,2024,2023,169,88,81,0,0,25,44,23,21,0,0,4,125,65,60,0,0,21,6,6,0,,,
00184000,University of Notre Dame,2024,2023,151,112,38,0,1,28,58,39,19,0,0,14,93,73,19,0,1,14,6,6,0,,,
00186000,Drake University,2024,2023,88,45,43,0,0,10,34,18,16,0,0,4,54,27,27,0,0,6,4,4,0,,,
00189200,University of Iowa,2024,2023,97,48,49,0,0,18,41,20,21,0,0,8,56,28,28,0,0,10,14,12,2,,,
00194800,University of Kansas,2024,2023,72,41,31,0,0,11,26,13,13,0,0,4,46,28,18,0,0,7,2,2,0,,,
00194900,Washburn University,2024,2023,68,37,30,0,1,6,26,14,12,0,0,3,42,23,18,0,1,3,6,6,0,,,
00198903,University of Kentucky,2024,2023,76,41,34,1,0,8,30,18,12,0,0,3,46,23,22,1,0,5,5,5,0,,,
00199900,University of Louisville,2024,2023,63,35,28,0,0,15,29,16,13,0,0,8,34,19,15,0,0,7,6,5,1,,,
00201000,Louisiana State University,2024,2023,105,63,42,0,0,14,35,19,16,0,0,4,70,44,26,0,0,10,9,9,0,,,
00201600,Loyola University-New Orleans,2024,2023,104,60,44,0,0,29,50,25,25,0,0,18,54,35,19,0,0,11,4,4,0,,,
00202500,Southern University,2024,2023,111,54,57,0,0,77,71,30,41,0,0,49,40,24,16,0,0,28,4,3,1,,,
00202900,Tulane University,2024,2023,126,84,42,0,0,15,54,30,24,0,0,7,72,54,18,0,0,8,6,6,0,,,
00205400,University of Maine,2024,2023,73,41,32,0,0,9,24,11,13,0,0,2,49,30,19,0,0,7,4,4,0,,,
00210200,University of Baltimore,2024,2023,171,93,76,0,2,20,57,28,29,0,0,10,114,65,47,0,2,10,7,6,1,,,
00210400,University of Maryland,2024,2023,194,106,88,0,0,48,67,31,36,0,0,24,127,75,52,0,0,24,13,12,1,,,
00212801,Boston College,2024,2023,220,127,93,0,0,46,82,38,44,0,0,27,138,89,49,0,0,19,12,12,0,,,
00213007,Boston University,2024,2023,217,123,93,0,1,32,88,46,42,0,0,22,129,77,51,0,1,10,13,13,0,,,
00215510,Harvard University,2024,2023,377,219,156,1,1,90,203,114,88,1,0,42,174,105,68,0,1,48,20,19,1,,,
00219900,Northeastern University,2024,2023,141,58,78,1,4,39,63,18,44,0,1,21,78,40,34,1,3,18,4,4,0,,,
00221007,University of Massachusetts Dartmouth,2024,2023,59,36,23,0,0,10,28,14,14,0,0,4,31,22,9,0,0,6,4,4,0,,,
00221810,Suffolk University,2024,2023,160,92,68,0,0,27,80,41,39,0,0,14,80,51,29,0,0,13,6,6,0,,,
00222600,Western New England University,2024,2023,78,32,46,0,0,10,25,7,18,0,0,7,53,25,28,0,0,3,4,4,0,,,
00225400,Michigan State University,2024,2023,127,71,55,0,0,23,48,26,22,0,0,10,78,45,33,0,0,13,5,5,0,,,
00232300,University of Detroit Mercy,2024,2023,107,49,58,0,0,19,36,15,21,0,0,10,71,34,37,0,0,9,7,7,0,,,
00232503,University of Michigan,2024,2023,208,127,81,0,0,41,119,71,48,0,0,26,89,56,33,0,0,15,11,11,0,,,
00232902,Wayne State University,2024,2023,100,52,48,0,0,19,51,26,25,0,0,9,49,26,23,0,0,10,3,2,1,,,
00234500,University of St. Thomas (Minnesota),2024,2023,180,88,90,0,2,34,26,17,9,0,0,3,154,71,81,0,2,31,4,4,0,,,
00239101,Mitchell Hamline School of Law,2024,2023,144,64,79,0,1,29,54,24,30,0,0,16,90,40,49,0,1,13,4,4,0,,,
00241501,Mississippi College,2024,2023,53,30,22,0,0,10,22,9,13,0,0,5,30,21,9,0,0,5,3,3,0,,,
00244000,University of Mississippi,2024,2023,73,44,28,0,1,11,38,22,15,0,1,5,35,22,13,0,0,6,7,7,0,,,
00250609,Saint Louis University,2024,2023,126,62,64,0,0,22,50,19,31,0,0,9,76,43,33,0,0,13,9,4,5,,,
00251600,University of Missouri,2024,2023,74,44,30,0,0,12,42,23,19,0,0,8,32,21,11,0,0,4,3,3,0,,,
00251800,University of Missouri-Kansas City,2024,2023,104,60,44,0,0,12,43,22,21,0,0,7,61,38,23,0,0,5,5,4,1,,,
00252000,Washington University,2024,2023,236,123,100,0,13,39,129,63,64,0,2,21,107,60,36,0,11,18,15,14,1,,,
00253600,University of Montana,2024,2023,49,18,31,0,0,7,19,6,13,0,0,2,30,12,18,0,0,5,2,2,0,,,
00254200,Creighton University,2024,2023,62,36,26,0,0,6,27,14,13,0,0,1,35,22,13,0,0,5,4,4,0,,,
00256500,University of Nebraska,2024,2023,94,53,41,0,0,9,34,21,13,0,0,4,60,32,28,0,0,5,5,5,0,,,
00256900,University of Nevada - Las Vegas,2024,2023,104,50,54,0,0,27,49,20,29,0,0,14,55,30,25,0,0,13,6,6,0,,,
00258903,University of New Hampshire,2024,2023,115,61,52,0,2,11,29,16,13,0,0,3,86,45,39,0,2,8,4,4,0,,,
00262900,Rutgers University,2024,2023,242,138,103,0,0,60,121,59,62,0,0,33,120,79,41,0,0,27,11,11,0,,,
00263201,Seton Hall University,2024,2023,153,83,68,1,1,25,59,27,31,1,0,12,94,56,37,0,1,13,5,5,0,,,
00266300,University of New Mexico,2024,2023,103,43,60,0,0,39,42,17,25,0,0,21,61,26,35,0,0,18,8,8,0,,,
00267700,Brooklyn Law School,2024,2023,231,134,92,0,5,43,66,25,40,0,1,17,165,109,52,0,4,26,10,9,1,,,
00270711,Columbia University,2024,2023,455,279,173,3,0,99,120,68,50,2,0,27,335,211,123,1,0,72,19,19,0,,,
00271101,Cornell University,2024,2023,207,123,83,0,1,37,76,42,34,0,0,19,131,81,49,0,1,18,7,6,1,,,
00272203,Fordham University,2024,2023,427,235,192,0,0,83,88,46,42,0,0,21,339,189,150,0,0,62,12,12,0,,,
00273200,Hofstra University,2024,2023,173,93,79,1,0,34,53,24,29,0,0,11,120,69,50,1,0,23,7,7,0,,,
00278300,New York Law School,2024,2023,245,127,113,0,5,49,50,24,26,0,0,9,195,103,87,0,5,40,10,8,2,,,
00278500,New York University,2024,2023,435,260,175,0,0,90,162,100,62,0,0,42,273,160,113,0,0,48,16,16,0,,,
00279102,Pace University,2024,2023,172,95,76,1,0,27,43,20,22,1,0,7,129,75,54,0,0,20,4,4,0,,,
00282300,"St. John's University",2024,2023,169,81,87,1,0,33,42,18,23,1,0,10,127,63,64,0,0,23,4,4,0,,,
00283700,University of Buffalo-SUNY,2024,2023,136,73,63,0,0,19,65,35,30,0,0,12,71,38,33,0,0,7,9,9,0,,,
00288200,Syracuse University,2024,2023,102,57,45,0,0,17,57,26,31,0,0,11,45,31,14,0,0,6,6,5,1,,,
00288600,Albany Law School of Union University,2024,2023,93,44,48,1,0,21,49,19,30,0,0,13,44,25,18,1,0,8,7,6,1,,,
00290301,Cardozo School of Law,2024,2023,301,153,142,0,5,54,64,34,30,0,0,11,236,119,112,0,5,43,7,7,0,,,
00291300,Campbell University,2024,2023,100,50,50,0,0,13,33,18,15,0,0,2,67,32,35,0,0,11,5,5,0,,,
00292002,Duke University,2024,2023,221,121,99,1,0,36,98,52,46,0,0,23,123,69,53,1,0,13,15,14,1,,,
00292701,Elon University,2024,2023,81,37,44,0,0,20,40,21,19,0,0,7,41,16,25,0,0,13,5,5,0,,,
00295000,North Carolina Central University,2024,2023,61,25,36,0,0,41,34,14,20,0,0,25,27,11,16,0,0,16,6,6,0,,,
00297400,University of North Carolina,2024,2023,149,74,75,0,0,21,64,30,34,0,0,11,85,44,41,0,0,10,12,12,0,,,
