schoolid,schoolname,CalendarYear,AcademicYear,CondScholInd,NumEnteringCondSchol,NumEliminatedCondSchol,NumStudents,FTNumStudents,PTNumStudents,TotalRecvGrant,TotalRecvGrantP,FTRecvGrant,PTRecvGrant,TotalGrantLTHalf,TotalGrantLTHalfP,FTGrantLTHalf,PTGrantLTHalf,TotalGrantALHalf,TotalGrantALHalfP,FTGrantALHalf,PTGrantALHalf,TotalGrantFull,TotalGrantFullP,FTGrantFull,PTGrantFull,TotalGrantGTFull,TotalGrantGTFullP,FTGrantGTFull,PTGrantGTFull,FTGrantAmt75,PTGrantAmt75,FTGrantAmtMedian,PTGrantAmtMedian,FTGrantAmt25,PTGrantAmt25
00341001,Roger Williams University,2024,2023,Y,94,13,514,514,0,356,69.3,356,,123,23.9,123,,211,41.1,211,,20,3.9,20,,2,0.4,2,,33626,,27400,,17934,
00344800,University of South Carolina,2024,2023,N,,,601,601,0,503,83.7,503,,419,69.7,419,,82,13.6,82,,1,0.2,1,,1,0.2,1,,14000,,9062,,6000,
00347400,University of South Dakota,2024,2023,Y,1,0,247,247,0,138,55.9,138,,93,37.7,93,,26,10.5,26,,7,2.8,7,,11,4.5,11,,10000,,3425,,582,
00347900,Belmont University,2024,2023,Y,55,11,350,350,0,228,65.1,228,,41,11.7,41,,97,27.7,97,,90,25.7,90,,0,0,0,,52370,,39278,,26185,
00350200,Lincoln Memorial University,2024,2023,N,,,374,351,23,369,98.7,346,23,138,36.9,120,18,216,57.8,212,4,2,0.5,1,1,13,3.5,13,0,30400,17194,25900,15167,15941,14473
00350900,University of Memphis,2024,2023,Y,34,13,283,283,0,143,50.5,143,,78,27.6,78,,49,17.3,49,,13,4.6,13,,3,1.1,3,,15000,,10000,,4803,
00353000,University of Tennessee,2024,2023,N,,,394,394,0,354,89.8,354,,214,54.3,214,,120,30.5,120,,10,2.5,10,,10,2.5,10,,14000,,9000,,5000,
00353500,Vanderbilt University,2024,2023,N,,,512,512,0,444,86.7,444,,295,57.6,295,,145,28.3,145,,0,0,0,,4,0.8,4,,46000,,32000,,17500,
00354500,Baylor University,2024,2023,Y,121,3,448,448,0,452,100.9,452,,96,21.4,96,,224,50,224,,54,12.1,54,,78,17.4,78,,60311,,30000,,7355,
00361300,Southern Methodist University,2024,2023,Y,6,1,655,655,0,629,96,629,,461,70.4,461,,136,20.8,136,,0,0,0,,32,4.9,32,,32000,,25000,,20000,
00362300,"St. Mary's University",2024,2023,N,,,803,685,118,652,81.2,589,63,596,74.2,537,59,55,6.8,51,4,0,0,0,0,1,0.1,1,0,17000,11000,12000,10000,7127,10000
00363221,Texas A&M University,2024,2023,N,,,447,443,4,418,93.5,415,3,77,17.2,76,1,243,54.4,242,1,39,8.7,39,0,59,13.2,58,1,33501,21971,30000,18580,17500,13290
00364200,Texas Southern University,2024,2023,N,,,568,568,0,0,0,0,,147,25.9,147,,117,20.6,117,,37,6.5,37,,0,0,0,,6311,,4207,,3680,
00364400,Texas Tech University,2024,2023,N,,,438,438,0,372,84.9,372,,252,57.5,252,,106,24.2,106,,0,0,0,,14,3.2,14,,17118,,10000,,5881,
00365200,University of Houston,2024,2023,N,,,794,706,88,568,71.5,538,30,434,54.7,414,20,106,13.4,98,8,0,0,0,0,28,3.5,26,2,17500,17000,11500,10000,4905,5000
00365800,University of Texas at Austin,2024,2023,N,,,985,985,0,919,93.3,919,,410,41.6,410,,429,43.6,429,,20,2,20,,60,6.1,60,,35667,,21948,,10000,
00367000,Brigham Young University,2024,2023,Y,2,0,369,369,0,366,99.2,366,,142,38.5,142,,44,11.9,44,,73,19.8,73,,107,29,107,,17598,,15076,,5000,
00367500,University of Utah,2024,2023,N,,,291,291,0,262,90,262,,72,24.7,72,,110,37.8,110,,45,15.5,45,,35,12,35,,33636,,19164,,9582,
00370500,William and Mary Law School,2024,2023,N,,,528,528,0,494,93.6,494,,220,41.7,220,,256,48.5,256,,7,1.3,7,,11,2.1,11,,37112,,27314,,21782,
00374400,University of Richmond,2024,2023,N,,,408,408,0,333,81.6,333,,132,32.4,132,,117,28.7,117,,80,19.6,80,,3,0.7,3,,53440,,32968,,15000,
00374500,University of Virginia,2024,2023,N,,,911,911,0,606,66.5,606,,337,37,337,,218,23.9,218,,47,5.2,47,,4,0.4,4,,49000,,35000,,20000,
00374900,George Mason University,2024,2023,N,,,546,431,115,464,85,363,101,158,28.9,119,39,259,47.4,211,48,47,8.6,32,15,2,0.4,2,0,30000,13857,20000,10000,13000,6054
00376800,Washington and Lee University,2024,2023,N,,,379,379,0,365,96.3,365,,103,27.2,103,,260,68.6,260,,1,0.3,1,,1,0.3,1,,38500,,33500,,22500,
00377800,Gonzaga University,2024,2023,N,,,562,562,0,550,97.9,550,,193,34.3,193,,347,61.7,347,,10,1.8,10,,0,0,0,,33000,,31000,,25125,
00379001,Seattle University,2024,2023,Y,126,21,678,515,163,559,82.4,421,138,330,48.7,236,94,137,20.2,110,27,92,13.6,75,17,0,0,0,0,40000,25000,30000,20000,20000,15000
00379800,University of Washington,2024,2023,N,,,537,537,0,510,95,510,,479,89.2,479,,16,3,16,,0,0,0,,15,2.8,15,,40874,,27249,,13625,
00382700,West Virginia University,2024,2023,Y,6,0,315,315,0,243,77.1,243,,136,43.2,136,,82,26,82,,20,6.3,20,,5,1.6,5,,18000,,12000,,7000,
00386300,Marquette University,2024,2023,N,,,593,563,30,519,87.5,497,22,283,47.7,263,20,232,39.1,230,2,4,0.7,4,0,0,0,0,0,29000,15875,23000,9500,16000,6750
00389500,University of Wisconsin,2024,2023,N,,,698,698,0,658,94.3,658,,259,37.1,259,,317,45.4,317,,2,0.3,2,,80,11.5,80,,45000,,25696,,12000,
00393200,University of Wyoming,2024,2023,Y,66,15,239,239,0,202,84.5,202,,138,57.7,138,,48,20.1,48,,3,1.3,3,,14,5.9,14,,12000,,8000,,5000,
00393600,Pontifical Catholic University of P.R.,2024,2023,Y,81,27,501,307,194,118,23.6,75,43,104,20.8,68,36,7,1.4,3,4,5,1,3,2,2,0.4,1,1,4227,4635,1822,2342,1040,1237
00394200,University of Puerto Rico,2024,2023,N,,,453,316,137,39,8.6,26,13,32,7.1,22,10,0,0,0,0,6,1.3,3,3,0,0,0,0,289,11,295,11,0,4
00394700,"UC College of the Law, San Francisco",2024,2023,Y,250,59,1116,1116,0,944,84.6,944,,755,67.7,755,,179,16,179,,0,0,0,,10,0.9,10,,25000,,18377,,10000,
00396900,University of Minnesota,2024,2023,N,,,675,675,0,630,93.3,630,,253,37.5,253,,370,54.8,370,,7,1,7,,0,0,0,,46656,,30000,,15000,
00425090,Inter American University of Puerto Rico,2024,2023,Y,7,2,663,365,298,50,7.5,22,28,26,3.9,14,12,4,0.6,3,1,1,0.2,0,1,19,2.9,5,14,4182,3862,2788,2575,1394,1287
00497700,South Texas College of Law,2024,2023,Y,247,96,1091,878,213,740,67.8,601,139,668,61.2,532,136,71,6.5,68,3,1,0.1,1,0,0,0,0,0,16177,6968,10000,4096,3216,1937
00891600,New England Law | Boston,2024,2023,Y,253,68,1082,833,249,948,87.6,739,209,340,31.4,260,80,230,21.3,172,58,376,34.8,306,70,2,0.2,1,1,57048,42784,40000,26316,20000,16639
00927500,Northern Kentucky University,2024,2023,N,,,382,280,102,224,58.6,179,45,108,28.3,75,33,115,30.1,103,12,0,0,0,0,1,0.3,1,0,23790,15000,16500,10000,10000,8000
00963500,Florida International University,2024,2023,Y,123,28,545,441,104,315,57.8,283,32,148,27.2,128,20,69,12.7,62,7,53,9.7,49,4,45,8.3,44,1,20746,11885,15000,6857,7000,2458
01014205,Touro University,2024,2023,Y,168,100,564,359,205,423,75,265,158,254,45,158,96,165,29.3,105,60,4,0.7,2,2,0,0,0,0,36000,28000,22000,16500,13000,8000
01014913,Pepperdine University,2024,2023,Y,120,24,561,561,0,446,79.5,446,,248,44.2,248,,174,31,174,,0,0,0,,24,4.3,24,,55000,,30000,,25000,
01039501,University of San Diego,2024,2023,Y,230,30,752,709,43,649,86.3,619,30,308,41,292,16,337,44.8,323,14,0,0,0,0,4,0.5,4,0,47000,30000,32000,22000,25000,12625
01164901,Loyola Marymount University-Los Angeles,2024,2023,Y,214,28,1015,826,189,609,60,518,91,146,14.4,130,16,445,43.8,378,67,0,0,0,0,18,1.8,10,8,50000,38000,44000,34000,32000,25000
01193400,Vermont Law School,2024,2023,N,,,491,395,96,464,94.5,384,80,218,44.4,139,79,194,39.5,193,1,52,10.6,52,0,0,0,0,0,40000,13500,30000,9000,20438,9000
01262700,Thomas M. Cooley Law School,2024,2023,N,,,481,149,332,266,55.3,90,176,194,40.3,66,128,60,12.5,22,38,11,2.3,2,9,0,0,0,0,22572,11880,14250,7600,9120,4943
01310300,California Western School of Law,2024,2023,Y,191,130,663,579,84,419,63.2,372,47,197,29.7,173,24,146,22,133,13,76,11.5,66,10,0,0,0,0,48224,34048,30688,26608,15070,13304
02053000,Liberty University,2024,2023,Y,108,0,322,322,0,322,100,322,,126,39.1,126,,196,60.9,196,,0,0,0,,0,0,0,,32000,,24000,,18000,
02179937,Western State College of Law,2024,2023,Y,110,85,348,244,104,259,74.4,199,60,120,34.5,87,33,139,39.9,112,27,0,0,0,0,0,0,0,0,36780,29000,26000,18000,15000,8600
03091300,Regent University,2024,2023,N,,,332,320,12,321,96.7,312,9,132,39.8,126,6,190,57.2,185,5,0,0,0,0,1,0.3,1,0,34454,20853,23310,14750,10395,5204
03173300,"Atlanta's John Marshall Law School",2024,2023,Y,124,47,349,241,108,313,89.7,219,94,256,73.4,185,71,45,12.9,27,18,12,3.4,7,5,0,0,0,0,18000,12107,10800,7811,3600,2375
03191300,City University of New York,2024,2023,N,,,674,462,212,113,16.8,74,39,76,11.3,73,3,36,5.3,1,35,1,0.1,0,1,0,0,0,0,8000,6000,8000,6000,8000,6000
03559300,Appalachian School of Law,2024,2023,N,,,144,144,0,123,85.4,123,,54,37.5,54,,41,28.5,41,,10,6.9,10,,18,12.5,18,,28500,,11500,,5000,
03691400,Ave Maria School of Law,2024,2023,Y,92,25,297,297,0,200,67.3,200,,71,23.9,71,,123,41.4,123,,0,0,0,,6,2,6,,44900,,32000,,18750,
04096300,Charleston School of Law,2024,2023,N,,,29,29,0,636,2193.1,636,,388,1337.9,388,,248,855.2,248,,0,0,0,,0,0,0,,28000,,19000,,12000,
04242101,UNT Dallas College Of Law,2024,2023,N,,,417,266,151,267,64,187,80,217,52,154,63,31,7.4,20,11,0,0,0,0,19,4.6,13,6,7000,5590,5000,2500,2000,1500
