schoolid,schoolname,CalendarYear,AcademicYear,CondScholInd,NumEnteringCondSchol,NumEliminatedCondSchol,NumStudents,FTNumStudents,PTNumStudents,TotalRecvGrant,TotalRecvGrantP,FTRecvGrant,PTRecvGrant,TotalGrantLTHalf,TotalGrantLTHalfP,FTGrantLTHalf,PTGrantLTHalf,TotalGrantALHalf,TotalGrantALHalfP,FTGrantALHalf,PTGrantALHalf,TotalGrantFull,TotalGrantFullP,FTGrantFull,PTGrantFull,TotalGrantGTFull,TotalGrantGTFullP,FTGrantGTFull,PTGrantGTFull,FTGrantAmt75,PTGrantAmt75,FTGrantAmtMedian,PTGrantAmtMedian,FTGrantAmt25,PTGrantAmt25
00148001,Florida A&M University,2024,2023,N,,,347,290,57,127,36.6,105,22,37,10.7,30,7,64,18.4,56,8,0,0,0,0,26,7.5,19,7,12000,9667,8000,6000,6000,3000
00148900,Florida State University,2024,2023,N,,,457,457,0,350,76.6,350,,15,3.3,15,,142,31.1,142,,126,27.6,126,,61,13.3,61,,5160,,15000,,20840,
00149500,Jacksonville University,2024,2023,N,,,40,40,0,40,100,40,,23,57.5,23,,17,42.5,17,,0,0,0,,0,0,0,,22000,,18000,,14400,
00150900,Nova Southeastern University,2024,2023,N,,,630,530,100,434,68.9,378,56,328,52.1,281,47,105,16.7,96,9,1,0.2,1,0,0,0,0,0,25000,15000,15375,11250,12500,3750
00153101,Stetson University,2024,2023,N,,,927,752,175,829,89.4,704,125,446,48.1,349,97,350,37.8,327,23,33,3.6,28,5,0,0,0,0,36000,15000,26000,9000,15000,5500
00153505,University of Florida,2024,2023,N,,,664,664,0,590,88.9,590,,206,31,206,,96,14.5,96,,114,17.2,114,,174,26.2,174,,38040,,21804,,8000,
00153601,University of Miami,2024,2023,N,,,1158,1158,0,758,65.5,758,,134,11.6,134,,623,53.8,623,,0,0,0,,1,0.1,1,,52000,,45000,,36000,
00156400,Emory University,2024,2023,N,,,799,799,0,784,98.1,784,,337,42.2,337,,437,54.7,437,,0,0,0,,10,1.3,10,,28000,,36000,,44500,
00157400,Georgia State University,2024,2023,N,,,631,484,147,288,45.6,259,29,97,15.4,84,13,104,16.5,93,11,0,0,0,0,87,13.8,82,5,11125,9232,7840,6310,2669,2721
00158015,Mercer University,2024,2023,N,,,399,399,0,364,91.2,364,,230,57.6,230,,122,30.6,122,,0,0,0,,12,3,12,,25000,,17000,,8000,
00159800,University of Georgia,2024,2023,N,,,530,530,0,452,85.3,452,,161,30.4,161,,112,21.1,112,,79,14.9,79,,100,18.9,100,,19194,,12938,,5200,
00161000,University of Hawaii,2024,2023,N,,,304,227,77,214,70.4,178,36,172,56.6,143,29,38,12.5,32,6,2,0.7,0,2,2,0.7,2,0,11000,10000,6000,5000,5000,4000
00162600,University of Idaho,2024,2023,N,,,422,422,0,193,45.7,193,,168,39.8,168,,20,4.7,20,,4,0.9,4,,1,0.2,1,,14000,,7000,,5000,
00167100,Depaul University,2024,2023,N,,,531,445,86,523,98.5,440,83,195,36.7,146,49,321,60.5,287,34,0,0,0,0,7,1.3,7,0,35000,20000,30000,15000,21800,10000
00169101,Chicago-Kent College of Law-IIT,2024,2023,N,,,710,630,80,668,94.1,594,74,220,31,186,34,410,57.7,382,28,98,13.8,87,11,34,4.8,34,0,43250,33750,35000,22500,22250,14950
00171000,Loyola University-Chicago,2024,2023,N,,,921,773,148,860,93.4,736,124,300,32.6,254,46,557,60.5,480,77,0,0,0,0,2,0.2,2,0,35000,25000,30000,23000,25000,18000
00173700,Northern Illinois University,2024,2023,N,,,317,317,0,226,71.3,226,,156,49.2,156,,69,21.8,69,,0,0,0,,1,0.3,1,,12411,,8274,,5000,
00173900,Northwestern University,2024,2023,N,,,752,752,0,564,75,564,,256,34,256,,286,38,286,,0,0,0,,22,2.9,22,,42000,,40000,,20000,
00175800,Southern Illinois University-Carbondale,2024,2023,N,,,273,273,0,137,50.2,137,,107,39.2,107,,66,24.2,66,,2,0.7,2,,0,0,0,,12500,,9500,,6000,
00177400,University of Chicago,2024,2023,N,,,594,594,0,491,82.7,491,,399,67.2,399,,38,6.4,38,,0,0,0,,54,9.1,54,,27875,,15000,,10000,
00177500,University of Illinois,2024,2023,N,,,519,519,0,505,97.3,505,,129,24.9,129,,364,70.1,364,,0,0,0,,12,2.3,12,,45000,,36200,,22500,
00177608,University of Illinois Chicago School of Law,2024,2023,Y,139,68,1020,841,179,609,59.7,508,101,259,25.4,226,33,336,32.9,269,67,6,0.6,5,1,8,0.8,8,0,33750,21600,22900,15600,9000,6600
00180900,Indiana University - Bloomington,2024,2023,N,,,529,529,0,522,98.7,522,,133,25.1,133,,331,62.6,331,,0,0,0,,58,11,58,,50000,,36483,,20661,
00181300,Indiana University - Indianapolis,2024,2023,Y,19,14,726,542,184,562,77.4,419,143,509,70.1,333,176,197,27.1,154,43,0,0,0,0,46,6.3,44,2,28391,12728,15000,5500,5000,2500
00184000,University of Notre Dame,2024,2023,N,,,548,548,0,504,92,504,,248,45.3,248,,220,40.1,220,,24,4.4,24,,12,2.2,12,,50000,,35000,,20000,
00186000,Drake University,2024,2023,N,,,329,329,0,280,85.1,280,,83,25.2,83,,164,49.8,164,,21,6.4,21,,12,3.6,12,,36000,,30000,,22000,
00189200,University of Iowa,2024,2023,N,,,491,491,0,419,85.3,419,,149,30.3,149,,138,28.1,138,,98,20,98,,34,6.9,34,,49556,,29923,,20529,
00194800,University of Kansas,2024,2023,Y,115,26,362,362,0,309,85.4,309,,150,41.4,150,,28,7.7,28,,78,21.5,78,,53,14.6,53,,24192,,15000,,6436,
00194900,Washburn University,2024,2023,Y,46,10,310,310,0,212,68.4,212,,90,29,90,,95,30.6,95,,2,0.6,2,,39,12.6,39,,44324,,16665,,13665,
00198903,University of Kentucky,2024,2023,N,,,410,410,0,404,98.5,404,,292,71.2,292,,93,22.7,93,,0,0,0,,19,4.6,19,,18000,,12000,,7000,
00199900,University of Louisville,2024,2023,N,,,373,373,0,252,67.6,252,,116,31.1,116,,135,36.2,135,,0,0,0,,1,0.3,1,,22000,,16000,,8000,
00201000,Louisiana State University,2024,2023,Y,175,41,614,614,0,530,86.3,530,,253,41.2,253,,266,43.3,266,,11,1.8,11,,0,0,0,,19750,,14497,,8000,
00201600,Loyola University-New Orleans,2024,2023,Y,168,6,600,534,66,479,79.8,414,65,198,33,170,28,238,39.7,221,17,23,3.8,23,0,0,0,0,0,35000,20725,28000,12000,19500,8220
00202500,Southern University,2024,2023,Y,126,68,873,641,232,335,38.4,303,32,206,23.6,181,25,117,13.4,112,5,0,0,0,0,12,1.4,10,2,13025,12600,11800,10062,9375,2875
00202900,Tulane University,2024,2023,N,,,640,640,0,0,0,0,,206,32.2,206,,350,54.7,350,,2,0.3,2,,0,0,0,,45000,,37500,,30000,
00205400,University of Maine,2024,2023,N,,,262,262,0,184,70.2,184,,40,15.3,40,,87,33.2,87,,53,20.2,53,,4,1.5,4,,36000,,23190,,14783,
00210200,University of Baltimore,2024,2023,Y,152,26,694,509,185,433,62.4,342,91,283,40.8,214,69,136,19.6,118,18,11,1.6,9,2,0,0,0,0,24000,20000,15000,11750,7500,5000
00210400,University of Maryland,2024,2023,N,,,697,594,103,598,85.8,521,77,270,38.7,219,51,308,44.2,284,24,2,0.3,2,0,18,2.6,16,2,40000,16625,26855,9185,13079,4375
00212801,Boston College,2024,2023,N,,,765,765,0,708,92.5,708,,573,74.9,573,,127,16.6,127,,8,1,8,,0,0,0,,30000,,24000,,18000,
00213007,Boston University,2024,2023,N,,,744,744,0,674,90.6,674,,363,48.8,363,,309,41.5,309,,0,0,0,,2,0.3,2,,42000,,30000,,21750,
00215510,Harvard University,2024,2023,N,,,1797,1797,0,807,44.9,807,,560,31.2,560,,242,13.5,242,,0,0,0,,5,0.3,5,,40539,,26004,,7810,
00219900,Northeastern University,2024,2023,N,,,690,612,78,690,100,624,66,387,56.1,335,52,242,35.1,220,22,90,13,87,3,14,2,14,0,50000,31500,32000,19353,14878,12000
00221007,University of Massachusetts Dartmouth,2024,2023,N,,,354,281,73,296,83.6,235,61,217,61.3,168,49,72,20.3,62,10,6,1.7,4,2,1,0.3,1,0,20124,13452,15000,10000,8000,5000
00221810,Suffolk University,2024,2023,N,,,1225,927,298,984,80.3,755,229,652,53.2,472,180,308,25.1,266,42,16,1.3,10,6,8,0.7,7,1,35000,20000,20000,18772,11500,10000
00222600,Western New England University,2024,2023,N,,,308,214,94,281,91.2,197,84,79,25.6,54,25,178,57.8,131,47,23,7.5,11,12,1,0.3,1,0,32737,27163,30000,21000,22400,15000
00225400,Michigan State University,2024,2023,N,,,639,639,0,639,100,639,,103,16.1,103,,284,44.4,284,,250,39.1,250,,2,0.3,2,,41040,,40000,,30000,
00232300,University of Detroit Mercy,2024,2023,N,,,619,592,27,345,55.7,324,21,171,27.6,162,9,142,22.9,133,9,24,3.9,22,2,7,1.1,7,0,31984,23632,20343,14948,9318,9272
00232503,University of Michigan,2024,2023,N,,,978,978,0,842,86.1,842,,523,53.5,523,,293,30,293,,12,1.2,12,,14,1.4,14,,40000,,30000,,20000,
00232902,Wayne State University,2024,2023,N,,,407,376,31,333,81.8,310,23,68,16.7,61,7,46,11.3,43,3,195,47.9,185,10,24,5.9,21,3,38135,24000,33145,15000,19067,5000
00234500,University of St. Thomas (Minnesota),2024,2023,N,,,476,476,0,472,99.2,472,,385,80.9,385,,73,15.3,73,,14,2.9,14,,0,0,0,,33487,,23919,,16743,
00239101,Mitchell Hamline School of Law,2024,2023,N,,,1199,350,849,1204,100.4,362,842,647,54,103,544,486,40.5,212,274,71,5.9,47,24,0,0,0,0,43877,24363,33553,14912,20568,9320
00241501,Mississippi College,2024,2023,Y,84,26,362,362,0,235,64.9,235,,108,29.8,108,,87,24,87,,40,11,40,,0,0,0,,31500,,21000,,13000,
00244000,University of Mississippi,2024,2023,N,,,538,538,0,457,84.9,457,,236,43.9,236,,193,35.9,193,,13,2.4,13,,14,2.6,14,,12500,,5000,,2500,
00250609,Saint Louis University,2024,2023,N,,,552,497,55,543,98.4,492,51,284,51.4,247,37,210,38,199,11,44,8,42,2,5,0.9,5,0,35000,19500,24000,10000,13500,6677
00251600,University of Missouri,2024,2023,Y,20,5,383,383,0,288,75.2,288,,80,20.9,80,,84,21.9,84,,7,1.8,7,,117,30.5,117,,24000,,23000,,12000,
00251800,University of Missouri-Kansas City,2024,2023,Y,2,0,449,449,0,377,84,377,,304,67.7,304,,57,12.7,57,,0,0,0,,16,3.6,16,,10500,,7200,,4000,
00252000,Washington University,2024,2023,N,,,809,809,0,779,96.3,779,,108,13.3,108,,504,62.3,504,,65,8,65,,102,12.6,102,,55958,,45000,,38000,
00253600,University of Montana,2024,2023,Y,58,2,264,264,0,232,87.9,232,,186,70.5,186,,33,12.5,33,,0,0,0,,13,4.9,13,,13439,,7000,,4065,
00254200,Creighton University,2024,2023,N,,,385,385,0,310,80.5,310,,146,37.9,146,,112,29.1,112,,1,0.3,1,,51,13.2,51,,31134,,23000,,12840,
00256500,University of Nebraska,2024,2023,N,,,454,454,0,387,85.2,387,,63,13.9,63,,143,31.5,143,,104,22.9,104,,77,17,77,,33690,,20000,,10000,
